Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
13,13001,Acadie--Bathurst,33760,1433052000 ,1670 ,2460 ,2060 ,3960 ,2490 ,2520 ,2820 ,2580 ,2060 ,1630 ,1390 ,1070 ,1680 ,1360 ,1000 ,650 ,1690 ,530 ,130 ,
13,13002,Beauséjour,33880,1548692000 ,1660 ,1860 ,1740 ,3040 ,2510 ,2470 ,2660 ,2710 ,2290 ,1960 ,1620 ,1400 ,2260 ,1630 ,1080 ,800 ,1530 ,480 ,180 ,
13,13003,Fredericton,30560,1589445000 ,2270 ,1870 ,1550 ,1950 ,1670 ,1550 ,1540 ,1740 ,1650 ,1530 ,1440 ,1520 ,2990 ,2000 ,1390 ,910 ,2050 ,710 ,250 ,
13,13004,Fundy Royal,31280,1651706000 ,1640 ,1760 ,1640 ,2320 ,1930 ,1760 ,1750 ,2010 ,1850 ,1820 ,1580 ,1460 ,2300 ,1720 ,1210 ,1010 ,2440 ,860 ,230 ,
13,13005,Madawaska--Restigouche,25530,1021790000 ,1290 ,1940 ,1510 ,2530 ,1980 ,1960 ,1990 ,2180 ,1890 ,1560 ,1230 ,950 ,1390 ,980 ,600 ,390 ,840 ,220 ,90 ,
13,13006,Miramichi--Grand Lake,23830,935807000 ,2060 ,1550 ,1440 ,2560 ,1820 ,1750 ,1880 ,1710 ,1440 ,1290 ,1110 ,860 ,1280 ,890 ,690 ,390 ,790 ,270 ,80 ,
13,13007,Moncton--Riverview--Dieppe,34940,1638823000 ,2160 ,2550 ,1930 ,2680 ,2510 ,2360 ,2330 ,2400 ,2350 ,1940 ,1510 ,1430 ,2250 ,1710 ,1230 ,870 ,1810 ,700 ,240 ,
13,13008,New Brunswick Southwest,25980,1284963000 ,1430 ,1530 ,1370 ,2000 ,1740 ,1540 ,1580 ,1700 ,1550 ,1430 ,1330 ,1160 ,2050 ,1420 ,1040 ,780 ,1640 ,540 ,140 ,
13,13009,Saint John--Rothesay,29850,1464813000 ,2100 ,2410 ,1720 ,2370 ,2110 ,1800 ,1740 ,1870 ,1680 ,1460 ,1290 ,1130 ,1940 ,1420 ,1070 ,810 ,2000 ,650 ,270 ,
13,13010,Tobique--Mactaquac,27270,1170484000 ,1810 ,1780 ,1730 ,2460 ,2060 ,1810 ,1870 ,1970 ,1880 ,1600 ,1390 ,1230 ,1730 ,1120 ,760 ,540 ,1100 ,350 ,120 ,
TOTAL,,,296880,13739574000 ,18080 ,19720 ,16690 ,25870 ,20810 ,19520 ,20170 ,20870 ,18630 ,16200 ,13890 ,12210 ,19860 ,14260 ,10050 ,7150 ,15890 ,5300 ,1720 ,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,31130,1542751000 ,4440 ,1780 ,1970 ,2180 ,1820 ,1370 ,1420 ,1450 ,1410 ,1320 ,1250 ,1190 ,1990 ,1670 ,1250 ,990 ,2630 ,750 ,250 ,
24,24002,Abitibi--Témiscamingue,41970,2190386000 ,1950 ,2120 ,2680 ,3520 ,2760 ,2430 ,2250 ,2420 ,2440 ,2240 ,2090 ,1940 ,3070 ,2320 ,1760 ,1450 ,3370 ,870 ,300 ,
24,24003,Ahuntsic-Cartierville,42660,1965563000 ,3970 ,3470 ,4220 ,3910 ,3080 ,2680 ,2550 ,2310 ,2150 ,1780 ,1520 ,1340 ,2130 ,1730 ,1260 ,960 ,2110 ,970 ,530 ,
24,24004,Alfred-Pellan,38550,2044428000 ,2520 ,2120 ,2720 ,2820 ,2650 ,2180 ,2180 ,2360 ,2250 ,2060 ,1870 ,1620 ,2630 ,2160 ,1550 ,1110 ,2300 ,910 ,530 ,
24,24005,Argenteuil--La Petite-Nation,39230,1710395000 ,1950 ,2520 ,3100 ,3850 ,3000 ,2560 ,2530 ,2600 ,2450 ,2200 ,1940 ,1680 ,2590 ,1960 ,1310 ,800 ,1530 ,450 ,210 ,
24,24006,Avignon--La Mitis--Matane--Matapédia,30360,1141238000 ,1810 ,1710 ,2550 ,3940 ,2450 ,2120 ,2230 ,2340 ,1990 ,1650 ,1430 ,1100 ,1770 ,1100 ,660 ,450 ,770 ,220 ,70 ,
24,24007,Beauce,44050,2008536000 ,1510 ,2020 ,3050 ,3780 ,3320 ,2900 ,3070 ,3560 ,3710 ,3230 ,2710 ,2250 ,3120 ,2150 ,1120 ,710 ,1170 ,440 ,250 ,
24,24008,Beauport--Limoilou,36910,1529389000 ,1680 ,2440 ,3360 ,3410 ,2750 ,2510 ,2620 ,2830 ,2450 ,2180 ,1840 ,1530 ,2350 ,1710 ,970 ,640 ,1150 ,350 ,160 ,
24,24009,Bécancour--Nicolet--Saurel,38960,1755640000 ,1680 ,2280 ,2850 ,3740 ,2970 ,2630 ,2690 ,2770 ,2500 ,2200 ,1830 ,1540 ,2440 ,2110 ,1380 ,930 ,1700 ,480 ,220 ,
24,24010,Bellechasse--Les Etchemins--Lévis,46630,2302026000 ,1620 ,2040 ,2890 ,3830 ,3300 ,2910 ,3170 ,3300 ,3540 ,3230 ,2860 ,2430 ,3470 ,2570 ,1540 ,990 ,1980 ,650 ,330 ,
24,24011,Beloeil--Chambly,45390,2737450000 ,1880 ,1940 ,2360 ,2720 ,2390 ,2170 ,2340 ,2590 ,2770 ,2470 ,2350 ,2210 ,3910 ,3340 ,2470 ,1910 ,3740 ,1240 ,590 ,
24,24012,Berthier--Maskinongé,42770,1810137000 ,1930 ,2560 ,3250 ,4640 ,3460 ,2980 ,3210 ,3110 ,2850 ,2480 ,2010 ,1700 ,2700 ,1880 ,1180 ,760 ,1430 ,430 ,230 ,
24,24013,Thérèse-De Blainville,37910,2471701000 ,1980 ,1900 ,2280 ,2390 ,2020 ,1880 ,1920 ,2100 ,2100 ,1860 ,1750 ,1600 ,2760 ,2460 ,1840 ,1470 ,3270 ,1500 ,840 ,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,40100,2710608000 ,1740 ,1630 ,2150 ,2160 ,1930 ,1840 ,1830 ,2130 ,2250 ,2140 ,2080 ,1900 ,3350 ,2940 ,2280 ,1650 ,3820 ,1410 ,880 ,
24,24015,Bourassa,35640,1144343000 ,3140 ,3610 ,3860 ,4040 ,3360 ,2810 ,2570 ,2410 ,1930 ,1550 ,1170 ,970 ,1420 ,950 ,560 ,390 ,620 ,200 ,80 ,
