Summary Statistics of TFSA by Federal Electoral Districts,,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,
35,35097,Scarborough--Rouge Park,41380,523729000 ,28200 ,184511000 ,14020 ,72871000 ,,,,,,,,,,,,,,,,
35,35098,Scarborough Southwest,40360,477190000 ,27320 ,175275000 ,14180 ,72290000 ,,,,,,,,,,,,,,,,
35,35099,Simcoe--Grey,46510,750439000 ,29810 ,243210000 ,14680 ,85470000 ,,,,,,,,,,,,,,,,
35,35100,Simcoe North,39990,663915000 ,26330 ,211528000 ,13090 ,74328000 ,,,,,,,,,,,,,,,,
35,35101,Spadina--Fort York,46910,669437000 ,30220 ,254172000 ,14770 ,109775000 ,,,,,,,,,,,,,,,,
35,35102,Stormont--Dundas--South Glengarry,33720,527528000 ,21740 ,159136000 ,10780 ,54881000 ,,,,,,,,,,,,,,,,
35,35103,Sudbury,32850,565411000 ,21060 ,164758000 ,9510 ,55101000 ,,,,,,,,,,,,,,,,
35,35104,Thornhill,49580,877081000 ,32010 ,295763000 ,12280 ,91432000 ,,,,,,,,,,,,,,,,
35,35105,Thunder Bay--Rainy River,27970,431139000 ,17740 ,123738000 ,8220 ,42914000 ,,,,,,,,,,,,,,,,
35,35106,Thunder Bay--Superior North,28970,478712000 ,18590 ,141842000 ,8460 ,48542000 ,,,,,,,,,,,,,,,,
35,35107,Timmins--James Bay,24580,348513000 ,15070 ,108039000 ,7310 ,37894000 ,,,,,,,,,,,,,,,,
35,35108,Toronto Centre,38010,514068000 ,25400 ,188383000 ,12640 ,80455000 ,,,,,,,,,,,,,,,,
35,35109,Toronto--Danforth,41680,624546000 ,26380 ,210371000 ,12110 ,78171000 ,,,,,,,,,,,,,,,,
35,35110,University--Rosedale,43120,842885000 ,27430 ,265956000 ,10340 ,84872000 ,,,,,,,,,,,,,,,,
35,35111,Vaughan--Woodbridge,42020,671856000 ,26090 ,221862000 ,11010 ,75604000 ,,,,,,,,,,,,,,,,
35,35112,Waterloo,44140,801679000 ,28810 ,251350000 ,12100 ,83036000 ,,,,,,,,,,,,,,,,
35,35113,Wellington--Halton Hills,44230,736013000 ,28360 ,240173000 ,12980 ,81390000 ,,,,,,,,,,,,,,,,
35,35114,Whitby,46160,644555000 ,29750 ,228090000 ,15040 ,85392000 ,,,,,,,,,,,,,,,,
35,35115,Willowdale,52820,853517000 ,34750 ,296798000 ,14730 ,113509000 ,,,,,,,,,,,,,,,,
35,35116,Windsor--Tecumseh,41360,634167000 ,27420 ,198583000 ,13500 ,69122000 ,,,,,,,,,,,,,,,,
35,35117,Windsor West,38060,543604000 ,25240 ,175630000 ,12520 ,64139000 ,,,,,,,,,,,,,,,,
35,35118,York Centre,41040,528829000 ,28090 ,186278000 ,14640 ,76557000 ,,,,,,,,,,,,,,,,
35,35119,York--Simcoe,32430,413273000 ,20070 ,151616000 ,10740 ,61628000 ,,,,,,,,,,,,,,,,
35,35120,York South--Weston,41880,465871000 ,28670 ,171512000 ,16050 ,76052000 ,,,,,,,,,,,,,,,,
35,35121,Humber River--Black Creek,37430,353608000 ,25320 ,142329000 ,14990 ,70360000 ,,,,,,,,,,,,,,,,
TOTAL,,,4949210,76068953000 ,3216300 ,24984677000 ,1515750 ,8989762000 ,,,,,,,,,,,,,,,,
46,46001,Brandon--Souris,29040,484630000 ,18260 ,137560000 ,8190 ,45573000 ,,,,,,,,,,,,,,,,
46,46002,Charleswood--St. James--Assiniboia--Headingley,32950,572727000 ,21470 ,161737000 ,9650 ,51731000 ,,,,,,,,,,,,,,,,
46,46003,Churchill--Keewatinook Aski,12460,122637000 ,7550 ,43314000 ,4420 ,19241000 ,,,,,,,,,,,,,,,,
46,46004,Dauphin--Swan River--Neepawa,24650,422055000 ,15100 ,119311000 ,6810 ,37576000 ,,,,,,,,,,,,,,,,
46,46005,Elmwood--Transcona,29290,358498000 ,19200 ,116177000 ,10450 ,47430000 ,,,,,,,,,,,,,,,,
46,46006,Kildonan--St. Paul,31990,519523000 ,20990 ,152812000 ,9700 ,49726000 ,,,,,,,,,,,,,,,,
46,46007,Portage--Lisgar,25560,435599000 ,15690 ,125778000 ,6780 ,38637000 ,,,,,,,,,,,,,,,,
46,46008,Provencher,23880,355724000 ,14520 ,110130000 ,6600 ,34266000 ,,,,,,,,,,,,,,,,
46,46009,Saint Boniface--Saint Vital,33660,545082000 ,21580 ,161150000 ,9820 ,54210000 ,,,,,,,,,,,,,,,,
46,46010,Selkirk--Interlake--Eastman,29690,483296000 ,18190 ,145429000 ,8410 ,46964000 ,,,,,,,,,,,,,,,,
46,46011,Winnipeg Centre,26550,250382000 ,17900 ,90698000 ,10680 ,44747000 ,,,,,,,,,,,,,,,,
46,46012,Winnipeg North,28960,255228000 ,20400 ,97172000 ,11960 ,46627000 ,,,,,,,,,,,,,,,,
46,46013,Winnipeg South,37550,602426000 ,24320 ,188484000 ,10430 ,63586000 ,,,,,,,,,,,,,,,,
46,46014,Winnipeg South Centre,38320,705088000 ,25030 ,203333000 ,10340 ,62229000 ,,,,,,,,,,,,,,,,
TOTAL,,,404540,6112894000 ,260210 ,1853085000 ,124230 ,642544000 ,,,,,,,,,,,,,,,,
47,47001,Battlefords--Lloydminster,20090,297437000 ,12230 ,89334000 ,5340 ,27346000 ,,,,,,,,,,,,,,,,
47,47002,Cypress Hills--Grasslands,22460,428764000 ,13780 ,119981000 ,4790 ,29110000 ,,,,,,,,,,,,,,,,
47,47003,Desnethé--Missinippi--Churchill River,14110,136963000 ,7570 ,45960000 ,4280 ,17601000 ,,,,,,,,,,,,,,,,
47,47004,Carlton Trail--Eagle Creek,22880,356208000 ,13930 ,103404000 ,5810 ,31069000 ,,,,,,,,,,,,,,,,
47,47005,Moose Jaw--Lake Centre--Lanigan,25900,441169000 ,16170 ,128579000 ,6700 ,37875000 ,,,,,,,,,,,,,,,,
47,47006,Prince Albert,23840,389336000 ,14390 ,113337000 ,6010 ,33348000 ,,,,,,,,,,,,,,,,
47,47007,Regina--Lewvan,32710,522374000 ,21460 ,158650000 ,9050 ,50260000 ,,,,,,,,,,,,,,,,
47,47008,Regina--Qu'Appelle,22530,327752000 ,14200 ,98630000 ,6600 ,33239000 ,,,,,,,,,,,,,,,,
47,47009,Regina--Wascana,31200,545774000 ,20730 ,164099000 ,8050 ,46652000 ,,,,,,,,,,,,,,,,
47,47010,Saskatoon--Grasswood,32100,594303000 ,20570 ,167168000 ,7600 ,47490000 ,,,,,,,,,,,,,,,,
47,47011,Saskatoon--University,30790,538420000 ,19930 ,157655000 ,7550 ,47271000 ,,,,,,,,,,,,,,,,
47,47012,Saskatoon West,24650,292806000 ,15760 ,93998000 ,8010 ,35306000 ,,,,,,,,,,,,,,,,
47,47013,Souris--Moose Mountain,25400,449004000 ,15910 ,129925000 ,6070 ,36974000 ,,,,,,,,,,,,,,,,
47,47014,Yorkton--Melville,22280,403754000 ,13440 ,114779000 ,5350 ,32523000 ,,,,,,,,,,,,,,,,
TOTAL,,,350950,5724063000 ,220070 ,1685499000 ,91200 ,506061000 ,,,,,,,,,,,,,,,,
48,48001,Banff--Airdrie,46760,653817000 ,29100 ,227171000 ,13360 ,77801000 ,,,,,,,,,,,,,,,,
48,48002,Battle River--Crowfoot,35860,602269000 ,22390 ,177378000 ,9210 ,56275000 ,,,,,,,,,,,,,,,,
48,48003,Bow River,34370,471488000 ,21520 ,157715000 ,9890 ,54830000 ,,,,,,,,,,,,,,,,
48,48004,Calgary Centre,51770,801423000 ,33040 ,285155000 ,14290 ,92667000 ,,,,,,,,,,,,,,,,
48,48005,Calgary Confederation,52430,929510000 ,33600 ,297984000 ,12510 ,83005000 ,,,,,,,,,,,,,,,,
48,48006,Calgary Forest Lawn,35780,360976000 ,23410 ,135667000 ,12550 ,59122000 ,,,,,,,,,,,,,,,,
48,48007,Calgary Heritage,48280,798403000 ,30800 ,254760000 ,12450 ,77331000 ,,,,,,,,,,,,,,,,
48,48008,Calgary Midnapore,50300,775814000 ,32220 ,254688000 ,13700 ,80925000 ,,,,,,,,,,,,,,,,
48,48009,Calgary Nose Hill,49860,793313000 ,31480 ,259315000 ,12620 ,81110000 ,,,,,,,,,,,,,,,,
48,48010,Calgary Rocky Ridge,53210,810742000 ,33160 ,274635000 ,13510 ,88396000 ,,,,,,,,,,,,,,,,
48,48011,Calgary Shepard,49560,579422000 ,30990 ,218937000 ,15600 ,85220000 ,,,,,,,,,,,,,,,,
48,48012,Calgary Signal Hill,51470,875139000 ,32170 ,288259000 ,12000 ,78199000 ,,,,,,,,,,,,,,,,
48,48013,Calgary Skyview,42360,350178000 ,28470 ,151732000 ,15780 ,75380000 ,,,,,,,,,,,,,,,,
48,48014,Edmonton Centre,41720,587462000 ,27070 ,195505000 ,12980 ,71640000 ,,,,,,,,,,,,,,,,
48,48015,Edmonton Griesbach,36000,435478000 ,22730 ,144569000 ,12130 ,59128000 ,,,,,,,,,,,,,,,,
48,48016,Edmonton Manning,38570,488260000 ,24610 ,164445000 ,12240 ,65086000 ,,,,,,,,,,,,,,,,
48,48017,Edmonton Mill Woods,38740,445392000 ,25070 ,159869000 ,12580 ,66133000 ,,,,,,,,,,,,,,,,
48,48018,Edmonton Riverbend,50920,888087000 ,32230 ,287639000 ,12570 ,91488000 ,,,,,,,,,,,,,,,,
48,48019,Edmonton Strathcona,41260,664951000 ,26370 ,214100000 ,11470 ,70070000 ,,,,,,,,,,,,,,,,
48,48020,Edmonton West,43140,575133000 ,27530 ,190960000 ,13460 ,72806000 ,,,,,,,,,,,,,,,,
48,48021,Edmonton--Wetaskiwin,48180,593114000 ,29480 ,213077000 ,15140 ,87197000 ,,,,,,,,,,,,,,,,
48,48022,Foothills,41290,673364000 ,24920 ,213821000 ,10530 ,63244000 ,,,,,,,,,,,,,,,,
48,48023,Fort McMurray--Cold Lake,37050,405488000 ,24030 ,175756000 ,12210 ,69494000 ,,,,,,,,,,,,,,,,
48,48024,Grande Prairie--Mackenzie,34490,409260000 ,21120 ,144686000 ,10430 ,55587000 ,,,,,,,,,,,,,,,,
48,48025,Lakeland,34680,516552000 ,21020 ,156864000 ,9540 ,53369000 ,,,,,,,,,,,,,,,,
48,48026,Lethbridge,37080,570558000 ,23820 ,175434000 ,10850 ,58896000 ,,,,,,,,,,,,,,,,
48,48027,Medicine Hat--Cardston--Warner,32410,526779000 ,20480 ,157452000 ,8970 ,49353000 ,,,,,,,,,,,,,,,,
48,48028,Peace River--Westlock,28880,388740000 ,18010 ,128064000 ,8560 ,45462000 ,,,,,,,,,,,,,,,,
48,48029,Red Deer--Mountain View,38750,603939000 ,23690 ,188565000 ,10520 ,61586000 ,,,,,,,,,,,,,,,,
48,48030,Red Deer--Lacombe,38650,508233000 ,23430 ,170140000 ,11630 ,62917000 ,,,,,,,,,,,,,,,,
48,48031,St. Albert--Edmonton,44610,676674000 ,28570 ,214466000 ,12620 ,71036000 ,,,,,,,,,,,,,,,,
48,48032,Sherwood Park--Fort Saskatchewan,46880,773400000 ,29100 ,236951000 ,11710 ,71632000 ,,,,,,,,,,,,,,,,
48,48033,Sturgeon River--Parkland,40550,557572000 ,24650 ,179837000 ,11750 ,65297000 ,,,,,,,,,,,,,,,,
48,48034,Yellowhead,31450,421954000 ,19000 ,134575000 ,9100 ,47362000 ,,,,,,,,,,,,,,,,
TOTAL,,,1427300,20512887000 ,899250 ,6830173000 ,408410 ,2349045000 ,,,,,,,,,,,,,,,,
59,59001,Abbotsford,32240,485142000 ,19860 ,156760000 ,9550 ,57572000 ,,,,,,,,,,,,,,,,
59,59002,Burnaby North--Seymour,44850,817720000 ,27670 ,248602000 ,10520 ,80001000 ,,,,,,,,,,,,,,,,
59,59003,Burnaby South,49480,849169000 ,30770 ,278965000 ,12590 ,100838000 ,,,,,,,,,,,,,,,,
59,59004,Cariboo--Prince George,34690,475746000 ,20850 ,150508000 ,10680 ,58601000 ,,,,,,,,,,,,,,,,
59,59005,Central Okanagan--Similkameen--Nicola,44020,801738000 ,27160 ,237570000 ,12300 ,79111000 ,,,,,,,,,,,,,,,,
59,59006,Chilliwack--Hope,30030,485697000 ,18260 ,152854000 ,8850 ,51096000 ,,,,,,,,,,,,,,,,
59,59007,Cloverdale--Langley City,38090,491260000 ,23100 ,175928000 ,12230 ,73113000 ,,,,,,,,,,,,,,,,
59,59008,Coquitlam--Port Coquitlam,47590,693307000 ,28290 ,238217000 ,13320 ,90321000 ,,,,,,,,,,,,,,,,
59,59009,Courtenay--Alberni,45110,865416000 ,27790 ,242692000 ,11550 ,75052000 ,,,,,,,,,,,,,,,,
59,59010,Cowichan--Malahat--Langford,35700,583273000 ,21470 ,177905000 ,10180 ,60715000 ,,,,,,,,,,,,,,,,
59,59011,Delta,42010,734574000 ,26220 ,226938000 ,10540 ,74689000 ,,,,,,,,,,,,,,,,
59,59012,Fleetwood--Port Kells,42220,574432000 ,25700 ,202284000 ,12030 ,81898000 ,,,,,,,,,,,,,,,,
59,59013,Kamloops--Thompson--Cariboo,44990,703610000 ,27420 ,214962000 ,13150 ,76537000 ,,,,,,,,,,,,,,,,
59,59014,Kelowna--Lake Country,45880,783263000 ,28740 ,245398000 ,12720 ,81548000 ,,,,,,,,,,,,,,,,
59,59015,Kootenay--Columbia,39080,647164000 ,23440 ,198322000 ,10190 ,62541000 ,,,,,,,,,,,,,,,,
59,59016,Langley--Aldergrove,41220,647590000 ,24590 ,213221000 ,11360 ,74475000 ,,,,,,,,,,,,,,,,
59,59017,Mission--Matsqui--Fraser Canyon,27330,377927000 ,16380 ,128121000 ,8250 ,50076000 ,,,,,,,,,,,,,,,,
59,59018,Nanaimo--Ladysmith,43670,762588000 ,27010 ,232613000 ,11990 ,74113000 ,,,,,,,,,,,,,,,,
59,59019,New Westminster--Burnaby,44290,653180000 ,27410 ,218653000 ,13000 ,84225000 ,,,,,,,,,,,,,,,,
59,59020,North Okanagan--Shuswap,45700,853959000 ,27570 ,239745000 ,11830 ,75163000 ,,,,,,,,,,,,,,,,
59,59021,North Vancouver,50280,873806000 ,30790 ,272495000 ,12090 ,85003000 ,,,,,,,,,,,,,,,,
59,59022,Pitt Meadows--Maple Ridge,32720,470828000 ,19580 ,154297000 ,9830 ,58782000 ,,,,,,,,,,,,,,,,
59,59023,Port Moody--Coquitlam,44630,712617000 ,26950 ,230431000 ,11750 ,82486000 ,,,,,,,,,,,,,,,,
59,59024,Prince George--Peace River--Northern Rockies,33510,403713000 ,20260 ,138543000 ,10360 ,54872000 ,,,,,,,,,,,,,,,,
59,59025,Richmond Centre,44610,813672000 ,26360 ,256707000 ,9450 ,80376000 ,,,,,,,,,,,,,,,,
59,59026,Esquimalt--Saanich--Sooke,39520,647865000 ,24300 ,200981000 ,11150 ,67235000 ,,,,,,,,,,,,,,,,
59,59027,Saanich--Gulf Islands,45860,1003547000 ,28640 ,279987000 ,9970 ,75024000 ,,,,,,,,,,,,,,,,
59,59028,Skeena--Bulkley Valley,25910,358729000 ,15290 ,112777000 ,7740 ,44023000 ,,,,,,,,,,,,,,,,
59,59029,South Okanagan--West Kootenay,44380,863064000 ,26420 ,233101000 ,10890 ,72098000 ,,,,,,,,,,,,,,,,
59,59030,South Surrey--White Rock,44810,920126000 ,27450 ,274293000 ,9860 ,82942000 ,,,,,,,,,,,,,,,,
59,59031,Steveston--Richmond East,44070,734765000 ,26010 ,239659000 ,10500 ,84395000 ,,,,,,,,,,,,,,,,
59,59032,Surrey Centre,35570,383810000 ,22210 ,147254000 ,11960 ,69564000 ,,,,,,,,,,,,,,,,
59,59033,Surrey--Newton,35000,413463000 ,21880 ,157080000 ,11060 ,75225000 ,,,,,,,,,,,,,,,,
59,59034,Vancouver Centre,52210,907034000 ,32160 ,300216000 ,13420 ,110109000 ,,,,,,,,,,,,,,,,
59,59035,Vancouver East,43390,633747000 ,26350 ,205359000 ,12080 ,78316000 ,,,,,,,,,,,,,,,,
59,59036,Vancouver Granville,49030,957376000 ,30480 ,292273000 ,10660 ,86386000 ,,,,,,,,,,,,,,,,
59,59037,North Island--Powell River,37020,662489000 ,22720 ,194930000 ,9590 ,59053000 ,,,,,,,,,,,,,,,,
59,59038,Vancouver Kingsway,45890,719128000 ,29010 ,228583000 ,12090 ,86519000 ,,,,,,,,,,,,,,,,
59,59039,Vancouver Quadra,46100,1009752000 ,28450 ,294296000 ,8600 ,76678000 ,,,,,,,,,,,,,,,,
59,59040,Vancouver South,44700,744343000 ,28140 ,226952000 ,11000 ,79898000 ,,,,,,,,,,,,,,,,
59,59041,Victoria,52240,971217000 ,32670 ,287805000 ,13990 ,92146000 ,,,,,,,,,,,,,,,,
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,48220,928794000 ,29020 ,281959000 ,10890 ,82725000 ,,,,,,,,,,,,,,,,
TOTAL,,,1757810,29420642000 ,1074820 ,9190234000 ,465750 ,3145540000 ,,,,,,,,,,,,,,,,
60,60001,Yukon,11640,148553000 ,7090 ,53038000 ,3430 ,19079000 ,,,,,,,,,,,,,,,,
TOTAL,,,11640,148553000 ,7090 ,53038000 ,3430 ,19079000 ,,,,,,,,,,,,,,,,
61,61001,Northwest Territories,13040,115419000 ,7740 ,45451000 ,4540 ,21432000 ,,,,,,,,,,,,,,,,
TOTAL,,,13040,115419000 ,7740 ,45451000 ,4540 ,21432000 ,,,,,,,,,,,,,,,,
62,62001,Nunavut,5290,34045000 ,3040 ,16541000 ,1870 ,7665000 ,,,,,,,,,,,,,,,,
TOTAL,,,5290,34045000 ,3040 ,16541000 ,1870 ,7665000 ,,,,,,,,,,,,,,,,
TOTAL,,,12173470,190411041000 ,7700260 ,60654430000 ,3597090 ,21145366000 ,,,,,,,,,,,,,,,,
