Summary Statistics of TFSA by Federal Electoral Districts,,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,37850,696227000 ,23860 ,207856000 ,10510 ,63797000 ,,,,,,,,,,,,,,,,
24,24015,Bourassa,27430,387653000 ,17480 ,119059000 ,9350 ,45747000 ,,,,,,,,,,,,,,,,
24,24016,Brome--Missisquoi,35050,639816000 ,21140 ,189214000 ,9580 ,58616000 ,,,,,,,,,,,,,,,,
24,24017,Brossard--Saint-Lambert,45100,867378000 ,28860 ,256782000 ,11620 ,77815000 ,,,,,,,,,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,25990,462336000 ,15320 ,136156000 ,7100 ,42583000 ,,,,,,,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,36440,608109000 ,22950 ,183827000 ,11260 ,61774000 ,,,,,,,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,30210,518299000 ,17950 ,155048000 ,8860 ,52000000 ,,,,,,,,,,,,,,,,
24,24021,Châteauguay--Lacolle,28910,435356000 ,17660 ,136606000 ,9190 ,48180000 ,,,,,,,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,24250,398623000 ,14720 ,124328000 ,7310 ,43322000 ,,,,,,,,,,,,,,,,
24,24023,Compton--Stanstead,33610,537624000 ,20320 ,160542000 ,9960 ,54254000 ,,,,,,,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,38380,580216000 ,24710 ,180441000 ,12380 ,66625000 ,,,,,,,,,,,,,,,,
24,24025,Drummond,30750,504406000 ,18970 ,151903000 ,9550 ,49869000 ,,,,,,,,,,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,17680,272020000 ,10030 ,84059000 ,5430 ,29526000 ,,,,,,,,,,,,,,,,
24,24027,Gatineau,31680,452776000 ,19640 ,146046000 ,10660 ,55818000 ,,,,,,,,,,,,,,,,
24,24028,Hochelaga,32700,499347000 ,20830 ,155971000 ,10540 ,57775000 ,,,,,,,,,,,,,,,,
24,24029,Honoré-Mercier,36320,602275000 ,23270 ,184176000 ,11150 ,59410000 ,,,,,,,,,,,,,,,,
24,24030,Hull--Aylmer,33750,514039000 ,21430 ,165614000 ,11070 ,63928000 ,,,,,,,,,,,,,,,,
24,24031,Joliette,31320,557349000 ,18700 ,166424000 ,9120 ,55594000 ,,,,,,,,,,,,,,,,
24,24032,Jonquière,25130,395295000 ,14940 ,124469000 ,7880 ,46638000 ,,,,,,,,,,,,,,,,
24,24033,La Pointe-de-l'Île,32840,496112000 ,20700 ,155472000 ,10570 ,54328000 ,,,,,,,,,,,,,,,,
24,24034,La Prairie,34400,507330000 ,21360 ,166277000 ,10620 ,58660000 ,,,,,,,,,,,,,,,,
24,24035,Lac-Saint-Jean,30360,513870000 ,17820 ,153282000 ,8620 ,52243000 ,,,,,,,,,,,,,,,,
24,24036,Lac-Saint-Louis,47220,909789000 ,29960 ,263799000 ,12210 ,79387000 ,,,,,,,,,,,,,,,,
24,24037,LaSalle--Émard--Verdun,35300,505560000 ,22060 ,164681000 ,11550 ,61973000 ,,,,,,,,,,,,,,,,
24,24038,Laurentides--Labelle,35190,627497000 ,20800 ,193410000 ,10050 ,63448000 ,,,,,,,,,,,,,,,,
24,24039,Laurier--Sainte-Marie,34720,497703000 ,21820 ,173642000 ,11080 ,66555000 ,,,,,,,,,,,,,,,,
24,24040,Laval--Les Îles,34410,531981000 ,21050 ,167605000 ,10340 ,58520000 ,,,,,,,,,,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,32040,435118000 ,20240 ,138492000 ,11060 ,53955000 ,,,,,,,,,,,,,,,,
24,24042,Lévis--Lotbinière,38320,654180000 ,23590 ,195161000 ,10850 ,60716000 ,,,,,,,,,,,,,,,,
24,24043,Longueuil--Saint-Hubert,37820,624355000 ,24140 ,190038000 ,11670 ,63413000 ,,,,,,,,,,,,,,,,
24,24044,Louis-Hébert,45140,969902000 ,29670 ,273925000 ,11250 ,76810000 ,,,,,,,,,,,,,,,,
24,24045,Louis-Saint-Laurent,41440,685882000 ,25990 ,210016000 ,12520 ,70035000 ,,,,,,,,,,,,,,,,
24,24046,Manicouagan,24770,365769000 ,14860 ,117468000 ,7890 ,43361000 ,,,,,,,,,,,,,,,,
