Prov/Terr,FED ID,Federal Electoral Districts,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,
35,35035,Hamilton Centre,45150,1617504000 ,19890 ,402111000 ,14600 ,161255000 ,6080 ,103073000 ,30860 ,238685000 ,11740 ,82434000 ,,,,,,,,,,
35,35036,Hamilton East--Stoney Creek,55240,2205914000 ,29070 ,664485000 ,22780 ,198890000 ,6630 ,103938000 ,29100 ,186734000 ,16460 ,107154000 ,,,,,,,,,,
35,35037,Hamilton Mountain,55350,2197913000 ,25680 ,609721000 ,21290 ,122056000 ,5860 ,78369000 ,26900 ,168071000 ,16070 ,102281000 ,,,,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,56770,2896530000 ,28090 ,886468000 ,33180 ,516589000 ,9030 ,228537000 ,21340 ,115774000 ,20780 ,169805000 ,,,,,,,,,,
35,35039,Hastings--Lennox and Addington,50260,1953649000 ,33880 ,834172000 ,24820 ,202520000 ,9660 ,110997000 ,29450 ,183886000 ,18080 ,143034000 ,,,,,,,,,,
35,35040,Huron--Bruce,51280,2290777000 ,31730 ,866051000 ,33280 ,378917000 ,12690 ,173543000 ,23780 ,130996000 ,21200 ,185382000 ,,,,,,,,,,
35,35041,Kanata--Carleton,58510,3526890000 ,21150 ,727914000 ,30150 ,394404000 ,8310 ,161455000 ,20730 ,103103000 ,20720 ,173987000 ,,,,,,,,,,
35,35042,Kenora,25110,1088343000 ,13380 ,331048000 ,12650 ,100696000 ,2960 ,49321000 ,17430 ,112389000 ,8470 ,62010000 ,,,,,,,,,,
35,35043,King--Vaughan,68230,4025892000 ,17510 ,362200000 ,38550 ,743360000 ,13480 ,270835000 ,28780 ,155113000 ,21740 ,153018000 ,,,,,,,,,,
35,35044,Kingston and the Islands,58380,2485022000 ,30950 ,1002326000 ,29970 ,423721000 ,7530 ,145634000 ,25800 ,164755000 ,20580 ,152733000 ,,,,,,,,,,
35,35045,Kitchener Centre,53910,2276891000 ,23300 ,538440000 ,24090 ,227427000 ,7060 ,113388000 ,25620 ,163223000 ,16360 ,104240000 ,,,,,,,,,,
35,35046,Kitchener--Conestoga,51870,2546425000 ,17470 ,445534000 ,26340 ,347246000 ,9080 ,154103000 ,19460 ,102031000 ,16460 ,109589000 ,,,,,,,,,,
35,35047,Kitchener South--Hespeler,58140,2790562000 ,18650 ,425728000 ,22400 ,277289000 ,7000 ,115972000 ,24090 ,141084000 ,16940 ,120531000 ,,,,,,,,,,
35,35048,Lambton--Kent--Middlesex,51100,2179309000 ,28990 ,708960000 ,29720 ,397861000 ,12250 ,160749000 ,25500 ,142538000 ,20260 ,129920000 ,,,,,,,,,,
35,35049,Lanark--Frontenac--Kingston,49350,2112808000 ,31340 ,885022000 ,25310 ,282811000 ,9390 ,118545000 ,23870 ,142904000 ,18070 ,146296000 ,,,,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,50870,2098626000 ,33510 ,931100000 ,26170 ,290561000 ,8880 ,110733000 ,25390 ,153373000 ,18750 ,157963000 ,,,,,,,,,,
35,35051,London--Fanshawe,60320,2222898000 ,26040 ,564792000 ,21380 ,106377000 ,6850 ,88544000 ,31740 ,212926000 ,18450 ,113245000 ,,,,,,,,,,
35,35052,London North Centre,58640,2644820000 ,28280 ,827888000 ,32010 ,607410000 ,8740 ,203642000 ,27050 ,173460000 ,21170 ,180152000 ,,,,,,,,,,
35,35053,London West,63510,2986823000 ,30730 ,921145000 ,34190 ,495332000 ,9930 ,222439000 ,26570 ,153889000 ,24000 ,188123000 ,,,,,,,,,,
35,35054,Markham--Stouffville,63980,3496018000 ,22590 ,581989000 ,39150 ,453473000 ,11730 ,215161000 ,26630 ,148005000 ,23160 ,173781000 ,,,,,,,,,,
35,35055,Markham--Thornhill,51780,2265662000 ,18730 ,326838000 ,33550 ,394549000 ,11580 ,186288000 ,23610 ,149459000 ,17280 ,121895000 ,,,,,,,,,,
35,35056,Markham--Unionville,59250,3331383000 ,18400 ,329081000 ,48070 ,661169000 ,13590 ,269389000 ,26090 ,144965000 ,22050 ,160815000 ,,,,,,,,,,
35,35057,Milton,57930,3270294000 ,13600 ,335261000 ,24670 ,331853000 ,9580 ,157012000 ,23780 ,122943000 ,17870 ,128131000 ,,,,,,,,,,
35,35058,Mississauga Centre,63830,2802149000 ,20820 ,408190000 ,31040 ,211564000 ,10890 ,147674000 ,27080 ,164816000 ,18680 ,108282000 ,,,,,,,,,,
35,35059,Mississauga East--Cooksville,61090,2571139000 ,25210 ,549410000 ,28710 ,228424000 ,11180 ,153914000 ,29110 ,179067000 ,18470 ,104588000 ,,,,,,,,,,
35,35060,Mississauga--Erin Mills,63480,3198915000 ,17800 ,422500000 ,32660 ,302317000 ,10850 ,183155000 ,25140 ,131478000 ,20020 ,145648000 ,,,,,,,,,,
35,35061,Mississauga--Lakeshore,60940,3760859000 ,25160 ,737056000 ,36630 ,814245000 ,11440 ,338545000 ,23140 ,129688000 ,22320 ,218824000 ,,,,,,,,,,
35,35062,Mississauga--Malton,63600,2615658000 ,15910 ,238570000 ,25210 ,201278000 ,10010 ,128797000 ,28900 ,169298000 ,16990 ,88098000 ,,,,,,,,,,
35,35063,Mississauga--Streetsville,67050,3499469000 ,17300 ,366776000 ,30170 ,287225000 ,10010 ,151125000 ,24890 ,130633000 ,19890 ,141216000 ,,,,,,,,,,
35,35064,Nepean,67740,3729053000 ,22490 ,752146000 ,31650 ,347112000 ,9170 ,180886000 ,25110 ,131459000 ,22580 ,168307000 ,,,,,,,,,,
35,35065,Newmarket--Aurora,66240,3708155000 ,20840 ,544012000 ,33690 ,413092000 ,11400 ,201688000 ,25240 ,131199000 ,21460 ,188408000 ,,,,,,,,,,
35,35066,Niagara Centre,56190,2104486000 ,32180 ,791028000 ,26690 ,172120000 ,6670 ,94120000 ,30490 ,197443000 ,19110 ,139999000 ,,,,,,,,,,
35,35067,Niagara Falls,68840,2614417000 ,41150 ,1065211000 ,35220 ,372743000 ,9830 ,143608000 ,35660 ,217412000 ,24300 ,191590000 ,,,,,,,,,,
35,35068,Niagara West,48130,2328319000 ,24370 ,695636000 ,26940 ,352619000 ,8590 ,150148000 ,18230 ,93122000 ,17740 ,148618000 ,,,,,,,,,,
35,35069,Nickel Belt,51670,2441069000 ,26200 ,669953000 ,21040 ,186465000 ,4860 ,63110000 ,26370 ,170630000 ,17190 ,113676000 ,,,,,,,,,,
35,35070,Nipissing--Timiskaming,46180,1930292000 ,26940 ,679816000 ,21430 ,214123000 ,6280 ,95624000 ,27030 ,177572000 ,14570 ,112018000 ,,,,,,,,,,
35,35071,Northumberland--Peterborough South,53780,2299971000 ,35740 ,997226000 ,29750 ,297308000 ,10160 ,136742000 ,25220 ,139287000 ,22830 ,228944000 ,,,,,,,,,,
35,35072,Oakville,62430,5031455000 ,26920 ,899537000 ,44840 ,1393429000 ,11250 ,399819000 ,21000 ,101371000 ,26090 ,341482000 ,,,,,,,,,,
35,35073,Oakville North--Burlington,69120,4745866000 ,17050 ,485645000 ,37170 ,459285000 ,10760 ,275905000 ,24700 ,113821000 ,22870 ,216722000 ,,,,,,,,,,
35,35074,Oshawa,64990,2556573000 ,32860 ,879360000 ,24730 ,147669000 ,7620 ,107900000 ,32980 ,211185000 ,24010 ,192684000 ,,,,,,,,,,
35,35075,Ottawa Centre,59080,3600079000 ,23740 ,883386000 ,35120 ,769963000 ,10280 ,326940000 ,20950 ,138256000 ,21630 ,198899000 ,,,,,,,,,,
35,35076,Orléans,71050,3825077000 ,29700 ,1109219000 ,32350 ,313602000 ,8730 ,172767000 ,23980 ,125111000 ,24020 ,193636000 ,,,,,,,,,,
35,35077,Ottawa South,56970,2667617000 ,26290 ,926275000 ,29790 ,433890000 ,8760 ,196514000 ,25280 ,168528000 ,19860 ,170111000 ,,,,,,,,,,
35,35078,Ottawa--Vanier,51060,2436606000 ,26730 ,938511000 ,26310 ,503693000 ,7710 ,176023000 ,25160 ,180973000 ,17950 ,145751000 ,,,,,,,,,,
35,35079,Ottawa West--Nepean,52480,2497602000 ,27540 ,947433000 ,30450 ,411957000 ,7290 ,143169000 ,22650 ,147821000 ,19380 ,150860000 ,,,,,,,,,,
35,35080,Oxford,63710,2719004000 ,31220 ,740226000 ,32110 ,400094000 ,11490 ,147634000 ,28660 ,156360000 ,23060 ,140322000 ,,,,,,,,,,
35,35081,Parkdale--High Park,52770,3338957000 ,17200 ,445425000 ,29750 ,488082000 ,12440 ,329662000 ,22900 ,152800000 ,16750 ,142075000 ,,,,,,,,,,
35,35082,Parry Sound--Muskoka,43910,1595275000 ,31700 ,830060000 ,25720 ,333328000 ,9440 ,154889000 ,24310 ,143717000 ,16470 ,131558000 ,,,,,,,,,,
35,35083,Perth--Wellington,56050,2297045000 ,26670 ,619559000 ,33020 ,434810000 ,15330 ,226483000 ,23740 ,119294000 ,19940 ,117184000 ,,,,,,,,,,
35,35084,Peterborough--Kawartha,56020,2206433000 ,36950 ,1009751000 ,32080 ,355294000 ,8800 ,138425000 ,29970 ,187019000 ,22060 ,164035000 ,,,,,,,,,,
35,35085,Pickering--Uxbridge,60890,3279155000 ,23480 ,633320000 ,31560 ,346639000 ,10400 ,175752000 ,22430 ,120717000 ,21270 ,194238000 ,,,,,,,,,,
35,35086,Renfrew--Nipissing--Pembroke,54880,2315261000 ,35040 ,916056000 ,26430 ,232375000 ,9140 ,113552000 ,29730 ,176948000 ,18280 ,137565000 ,,,,,,,,,,
35,35087,Richmond Hill,55000,2894140000 ,21870 ,451699000 ,41520 ,594783000 ,13710 ,274360000 ,23840 ,139708000 ,20060 ,148903000 ,,,,,,,,,,
35,35088,Carleton,50800,3157358000 ,18400 ,640953000 ,25780 ,418542000 ,7790 ,162430000 ,17830 ,86632000 ,17630 ,157253000 ,,,,,,,,,,
35,35089,St. Catharines,55430,2091203000 ,33200 ,870884000 ,27600 ,265784000 ,7030 ,115917000 ,29010 ,183460000 ,19860 ,139981000 ,,,,,,,,,,
35,35090,Toronto--St. Paul's,53370,4413937000 ,23080 ,784524000 ,38640 ,2122918000 ,13320 ,602400000 ,18380 ,112458000 ,22450 ,309688000 ,,,,,,,,,,
35,35091,Sarnia--Lambton,55100,2613876000 ,32990 ,1003335000 ,30740 ,353697000 ,7560 ,116415000 ,26180 ,166915000 ,22740 ,192363000 ,,,,,,,,,,
35,35092,Sault Ste. Marie,42610,1643842000 ,25480 ,671502000 ,19470 ,180331000 ,3380 ,55656000 ,24240 ,168056000 ,13180 ,91225000 ,,,,,,,,,,
35,35093,Scarborough--Agincourt,48790,1792228000 ,23590 ,445297000 ,32670 ,266674000 ,9980 ,123637000 ,27610 ,191786000 ,16900 ,95342000 ,,,,,,,,,,
35,35094,Scarborough Centre,53370,1917341000 ,20350 ,387941000 ,22670 ,118981000 ,8140 ,85580000 ,29400 ,200333000 ,15370 ,74947000 ,,,,,,,,,,
35,35095,Scarborough--Guildwood,47620,1758619000 ,18360 ,403499000 ,19350 ,111264000 ,7360 ,100195000 ,26960 ,192504000 ,13890 ,80788000 ,,,,,,,,,,
35,35096,Scarborough North,49420,1665788000 ,18980 ,288276000 ,26970 ,139719000 ,9360 ,95591000 ,27280 ,188531000 ,15530 ,80240000 ,,,,,,,,,,
35,35097,Scarborough--Rouge Park,52200,2223541000 ,20060 ,445550000 ,24300 ,144853000 ,7680 ,93308000 ,24000 ,159159000 ,17350 ,111993000 ,,,,,,,,,,
35,35098,Scarborough Southwest,51790,2201602000 ,19220 ,405273000 ,22780 ,179146000 ,8290 ,127705000 ,28980 ,195883000 ,15510 ,103546000 ,,,,,,,,,,
35,35099,Simcoe--Grey,65130,2907414000 ,37620 ,1041987000 ,35120 ,442746000 ,12360 ,197560000 ,28650 ,155441000 ,24740 ,195910000 ,,,,,,,,,,
35,35100,Simcoe North,52440,2045217000 ,34940 ,893018000 ,27800 ,314058000 ,9110 ,120264000 ,28800 ,171336000 ,19890 ,143545000 ,,,,,,,,,,
35,35101,Spadina--Fort York,61580,4534399000 ,10900 ,268783000 ,33360 ,667471000 ,11820 ,349380000 ,14620 ,103382000 ,16590 ,184369000 ,,,,,,,,,,
35,35102,Stormont--Dundas--South Glengarry,49260,1896832000 ,30870 ,740213000 ,23110 ,209382000 ,7440 ,105685000 ,30020 ,190736000 ,15730 ,112659000 ,,,,,,,,,,
35,35103,Sudbury,48590,2143681000 ,25930 ,739107000 ,23440 ,301591000 ,4560 ,93108000 ,24710 ,164716000 ,17170 ,117367000 ,,,,,,,,,,
35,35104,Thornhill,59340,3306050000 ,22340 ,506054000 ,42320 ,924317000 ,15880 ,365752000 ,23400 ,127382000 ,22090 ,180802000 ,,,,,,,,,,
35,35105,Thunder Bay--Rainy River,41200,1720168000 ,23390 ,626354000 ,19490 ,156198000 ,4620 ,67625000 ,22180 ,145792000 ,13790 ,104143000 ,,,,,,,,,,
35,35106,Thunder Bay--Superior North,41910,1815439000 ,23240 ,627131000 ,21090 ,191581000 ,3960 ,69280000 ,21970 ,147849000 ,14520 ,114368000 ,,,,,,,,,,
35,35107,Timmins--James Bay,40170,1868350000 ,20540 ,448839000 ,16480 ,142031000 ,4070 ,69431000 ,24480 ,165467000 ,10960 ,104967000 ,,,,,,,,,,
35,35108,Toronto Centre,49650,3020967000 ,13310 ,314394000 ,23060 ,456902000 ,9930 ,266209000 ,20490 ,159451000 ,13500 ,138167000 ,,,,,,,,,,
35,35109,Toronto--Danforth,51310,3126443000 ,17740 ,364336000 ,29120 ,306149000 ,12300 ,303604000 ,24820 ,164285000 ,16100 ,131314000 ,,,,,,,,,,
35,35110,University--Rosedale,47520,4418826000 ,26590 ,742486000 ,48720 ,1933495000 ,12750 ,569568000 ,25880 ,187911000 ,23150 ,346596000 ,,,,,,,,,,
35,35111,Vaughan--Woodbridge,56800,3096374000 ,21640 ,436211000 ,35010 ,434961000 ,9230 ,167510000 ,25500 ,138935000 ,18970 ,115454000 ,,,,,,,,,,
35,35112,Waterloo,58240,3167183000 ,20870 ,617433000 ,33960 ,573704000 ,8220 ,174639000 ,19510 ,98866000 ,20130 ,167299000 ,,,,,,,,,,
35,35113,Wellington--Halton Hills,66120,3735640000 ,26290 ,731388000 ,34850 ,527150000 ,11370 ,196837000 ,23250 ,109597000 ,23210 ,182531000 ,,,,,,,,,,
35,35114,Whitby,69110,3843538000 ,23910 ,687395000 ,30840 ,292435000 ,9500 ,183211000 ,26920 ,138219000 ,24260 ,222366000 ,,,,,,,,,,
35,35115,Willowdale,63160,2912540000 ,18950 ,461786000 ,39830 ,689471000 ,13120 ,254202000 ,21080 ,132948000 ,18420 ,140862000 ,,,,,,,,,,
35,35116,Windsor--Tecumseh,61830,2491209000 ,33140 ,931695000 ,26970 ,283378000 ,6580 ,106435000 ,31580 ,210340000 ,25120 ,148676000 ,,,,,,,,,,
35,35117,Windsor West,57720,2234599000 ,27070 ,668232000 ,23610 ,188622000 ,6580 ,108314000 ,34770 ,243596000 ,19570 ,110356000 ,,,,,,,,,,
35,35118,York Centre,51480,2163650000 ,20060 ,376604000 ,25070 ,538877000 ,11020 ,217222000 ,26730 ,179517000 ,15510 ,98981000 ,,,,,,,,,,
35,35119,York--Simcoe,54390,2638824000 ,19580 ,453483000 ,22210 ,231272000 ,9470 ,144452000 ,23610 ,137788000 ,16920 ,130323000 ,,,,,,,,,,
35,35120,York South--Weston,55280,2047503000 ,21400 ,376897000 ,21010 ,129460000 ,8890 ,110473000 ,34530 ,245471000 ,15210 ,66876000 ,,,,,,,,,,
35,35121,Humber River--Black Creek,51040,1619531000 ,18070 ,279620000 ,16450 ,75002000 ,7270 ,77095000 ,33200 ,242465000 ,12560 ,52008000 ,,,,,,,,,,
TOTAL,,,6837670,331079437000 ,2976620 ,76567070000 ,3487240 ,48483762000 ,1146450 ,21564421000 ,3140530 ,19070220000 ,2310740 ,17953103000 ,,,,,,,,,,
46,46001,Brandon--Souris,45150,1921978000 ,20750 ,450707000 ,25000 ,309791000 ,11970 ,165262000 ,20870 ,103100000 ,17800 ,95523000 ,,,,,,,,,,
46,46002,Charleswood--St. James--Assiniboia--Headingley,44440,2170415000 ,23190 ,677748000 ,22960 ,313979000 ,5380 ,101610000 ,15730 ,73736000 ,17900 ,127365000 ,,,,,,,,,,
46,46003,Churchill--Keewatinook Aski,22940,1069457000 ,9120 ,163427000 ,6500 ,30731000 ,2500 ,23009000 ,21660 ,118837000 ,6950 ,37143000 ,,,,,,,,,,
46,46004,Dauphin--Swan River--Neepawa,39060,1478236000 ,24810 ,454738000 ,22680 ,233984000 ,13600 ,135829000 ,25050 ,129131000 ,15290 ,79141000 ,,,,,,,,,,
46,46005,Elmwood--Transcona,50670,2051629000 ,18970 ,435424000 ,17990 ,80006000 ,5090 ,70075000 ,21960 ,110925000 ,15430 ,81710000 ,,,,,,,,,,
46,46006,Kildonan--St. Paul,45380,2101181000 ,22310 ,560291000 ,23710 ,268976000 ,5560 ,107639000 ,18600 ,87307000 ,17000 ,111556000 ,,,,,,,,,,
46,46007,Portage--Lisgar,45030,1787660000 ,19280 ,383453000 ,25290 ,323205000 ,14740 ,222981000 ,22410 ,106108000 ,16350 ,78499000 ,,,,,,,,,,
46,46008,Provencher,50090,2145010000 ,18920 ,397362000 ,25740 ,236776000 ,12140 ,174338000 ,23740 ,115553000 ,16630 ,92354000 ,,,,,,,,,,
46,46009,Saint Boniface--Saint Vital,47690,2273118000 ,22180 ,591546000 ,24560 ,248517000 ,6250 ,113418000 ,19160 ,93686000 ,17560 ,110749000 ,,,,,,,,,,
46,46010,Selkirk--Interlake--Eastman,45700,2000189000 ,27690 ,650461000 ,26160 ,192986000 ,10740 ,125498000 ,23180 ,118895000 ,19040 ,124277000 ,,,,,,,,,,
46,46011,Winnipeg Centre,43660,1497930000 ,15710 ,266327000 ,14750 ,144941000 ,4640 ,69937000 ,26510 ,167493000 ,10970 ,65545000 ,,,,,,,,,,
46,46012,Winnipeg North,49120,1657637000 ,15590 ,270387000 ,11800 ,60601000 ,4840 ,58375000 ,26310 ,148429000 ,12380 ,59278000 ,,,,,,,,,,
46,46013,Winnipeg South,54790,2616171000 ,18870 ,532787000 ,27710 ,294409000 ,6870 ,137022000 ,18210 ,81064000 ,19330 ,133015000 ,,,,,,,,,,
46,46014,Winnipeg South Centre,49620,2674329000 ,22400 ,672233000 ,29700 ,734249000 ,8020 ,223521000 ,16160 ,76367000 ,20490 ,170696000 ,,,,,,,,,,
TOTAL,,,633330,27444940000 ,279790 ,6506889000 ,304550 ,3473151000 ,112340 ,1728514000 ,299540 ,1530632000 ,223120 ,1366850000 ,,,,,,,,,,
47,47001,Battlefords--Lloydminster,34860,1534123000 ,14280 ,271028000 ,20760 ,358958000 ,9220 ,148442000 ,18320 ,107166000 ,12650 ,73322000 ,,,,,,,,,,
47,47002,Cypress Hills--Grasslands,34180,1411775000 ,18270 ,355552000 ,26620 ,493914000 ,17080 ,321887000 ,15100 ,72376000 ,15540 ,78760000 ,,,,,,,,,,
47,47003,Desnethé--Missinippi--Churchill River,21490,893162000 ,9770 ,167255000 ,8140 ,91202000 ,4400 ,32971000 ,20520 ,128069000 ,7660 ,49829000 ,,,,,,,,,,
47,47004,Carlton Trail--Eagle Creek,39020,1895292000 ,15500 ,295042000 ,20800 ,382242000 ,11900 ,157586000 ,18780 ,98771000 ,14470 ,85072000 ,,,,,,,,,,
47,47005,Moose Jaw--Lake Centre--Lanigan,39810,1936439000 ,20530 ,458240000 ,23020 ,400931000 ,11390 ,171333000 ,17660 ,95469000 ,17080 ,102940000 ,,,,,,,,,,
47,47006,Prince Albert,41630,1797927000 ,21430 ,439551000 ,20320 ,330819000 ,10170 ,121504000 ,24710 ,155389000 ,15070 ,93611000 ,,,,,,,,,,
47,47007,Regina--Lewvan,52910,2886346000 ,17240 ,496312000 ,22940 ,334336000 ,6790 ,135102000 ,17970 ,100215000 ,17010 ,133620000 ,,,,,,,,,,
47,47008,Regina--Qu'Appelle,37840,1771931000 ,15650 ,332290000 ,16550 ,231253000 ,7590 ,89072000 ,19840 ,128859000 ,13050 ,81061000 ,,,,,,,,,,
47,47009,Regina--Wascana,45280,2464386000 ,18280 ,508306000 ,23710 ,449193000 ,6070 ,123278000 ,17650 ,110502000 ,16030 ,118582000 ,,,,,,,,,,
47,47010,Saskatoon--Grasswood,44790,2443628000 ,17890 ,513674000 ,25760 ,561577000 ,7260 ,131326000 ,16070 ,89940000 ,16630 ,120635000 ,,,,,,,,,,
47,47011,Saskatoon--University,45170,2456088000 ,14200 ,401037000 ,23280 ,484628000 ,6620 ,122580000 ,15240 ,81877000 ,15460 ,110100000 ,,,,,,,,,,
47,47012,Saskatoon West,45210,1990351000 ,13860 ,285794000 ,14590 ,213809000 ,5720 ,82756000 ,23200 ,166839000 ,12550 ,73477000 ,,,,,,,,,,
47,47013,Souris--Moose Mountain,38700,1987856000 ,17390 ,345429000 ,24530 ,559682000 ,12260 ,164999000 ,17040 ,85224000 ,16560 ,107570000 ,,,,,,,,,,
47,47014,Yorkton--Melville,33480,1503461000 ,21120 ,402800000 ,20850 ,279738000 ,11970 ,122479000 ,19590 ,108148000 ,13900 ,73381000 ,,,,,,,,,,
TOTAL,,,554370,26972766000 ,235410 ,5272309000 ,291880 ,5172284000 ,128450 ,1925314000 ,261690 ,1528846000 ,203630 ,1301962000 ,,,,,,,,,,
48,48001,Banff--Airdrie,75530,4932802000 ,19140 ,489174000 ,37450 ,1327980000 ,11520 ,176306000 ,26680 ,135264000 ,25200 ,285216000 ,,,,,,,,,,
48,48002,Battle River--Crowfoot,54720,2645082000 ,25890 ,516966000 ,36470 ,706497000 ,18150 ,271741000 ,25720 ,147052000 ,21860 ,130339000 ,,,,,,,,,,
48,48003,Bow River,60010,3114821000 ,19430 ,379317000 ,31780 ,805511000 ,14770 ,237365000 ,26500 ,142896000 ,20410 ,158489000 ,,,,,,,,,,
48,48004,Calgary Centre,70810,6762300000 ,16980 ,474805000 ,40260 ,2679830000 ,9380 ,287070000 ,21390 ,154046000 ,23520 ,496758000 ,,,,,,,,,,
48,48005,Calgary Confederation,65670,4982152000 ,20700 ,586439000 ,41710 ,1343681000 ,9340 ,225076000 ,21710 ,132021000 ,25700 ,336971000 ,,,,,,,,,,
48,48006,Calgary Forest Lawn,61580,2517893000 ,17390 ,282677000 ,17860 ,187497000 ,8000 ,107892000 ,29900 ,200908000 ,15380 ,96709000 ,,,,,,,,,,
48,48007,Calgary Heritage,64550,4342975000 ,20630 ,600199000 ,36680 ,1444068000 ,8540 ,166957000 ,21950 ,117818000 ,24560 ,278966000 ,,,,,,,,,,
48,48008,Calgary Midnapore,69960,4559732000 ,20990 ,559225000 ,37090 ,1083689000 ,8630 ,158620000 ,24150 ,126874000 ,25410 ,284351000 ,,,,,,,,,,
48,48009,Calgary Nose Hill,66010,3906129000 ,18860 ,419602000 ,36290 ,657831000 ,8020 ,119923000 ,25080 ,141713000 ,23590 ,237544000 ,,,,,,,,,,
48,48010,Calgary Rocky Ridge,72620,5084266000 ,16710 ,441774000 ,40530 ,760329000 ,8930 ,153616000 ,25260 ,130091000 ,26640 ,268205000 ,,,,,,,,,,
48,48011,Calgary Shepard,85150,5600681000 ,16070 ,348134000 ,34750 ,791866000 ,9620 ,160429000 ,31820 ,180638000 ,26050 ,238626000 ,,,,,,,,,,
48,48012,Calgary Signal Hill,64520,5545730000 ,18810 ,505106000 ,42440 ,1480398000 ,8810 ,208997000 ,23290 ,125077000 ,26550 ,397830000 ,,,,,,,,,,
48,48013,Calgary Skyview,76170,3197378000 ,12420 ,175327000 ,20380 ,250601000 ,9240 ,105766000 ,33420 ,197606000 ,16810 ,104384000 ,,,,,,,,,,
48,48014,Edmonton Centre,63070,3620202000 ,20070 ,499640000 ,26550 ,1018704000 ,6950 ,171465000 ,25080 ,184324000 ,17840 ,154046000 ,,,,,,,,,,
48,48015,Edmonton Griesbach,58060,2642960000 ,23580 ,460683000 ,22410 ,200288000 ,5620 ,73402000 ,35070 ,279296000 ,15290 ,113898000 ,,,,,,,,,,
48,48016,Edmonton Manning,68140,3525834000 ,18660 ,388447000 ,24180 ,246540000 ,6160 ,85034000 ,29140 ,184998000 ,17720 ,113941000 ,,,,,,,,,,
48,48017,Edmonton Mill Woods,68320,3285505000 ,16600 ,327597000 ,22080 ,281986000 ,7110 ,87171000 ,28470 ,175243000 ,17950 ,115897000 ,,,,,,,,,,
48,48018,Edmonton Riverbend,67880,4720378000 ,21130 ,642412000 ,39600 ,1556680000 ,8090 ,215171000 ,23070 ,129978000 ,23600 ,224219000 ,,,,,,,,,,
48,48019,Edmonton Strathcona,58630,3386815000 ,19700 ,534232000 ,29420 ,792477000 ,7230 ,172192000 ,20460 ,127911000 ,18380 ,156470000 ,,,,,,,,,,
48,48020,Edmonton West,69490,4096032000 ,19120 ,459254000 ,28080 ,870872000 ,7100 ,122463000 ,26720 ,162646000 ,19720 ,154309000 ,,,,,,,,,,
48,48021,Edmonton--Wetaskiwin,85780,5227308000 ,20350 ,439157000 ,36120 ,900972000 ,11240 ,143987000 ,34630 ,195031000 ,27530 ,208295000 ,,,,,,,,,,
48,48022,Foothills,57200,4096970000 ,25310 ,634396000 ,37780 ,1604895000 ,13630 ,196897000 ,24260 ,125886000 ,23120 ,288521000 ,,,,,,,,,,
48,48023,Fort McMurray--Cold Lake,68420,6086941000 ,10770 ,211779000 ,26540 ,390007000 ,5610 ,62917000 ,24720 ,149781000 ,22180 ,147089000 ,,,,,,,,,,
48,48024,Grande Prairie--Mackenzie,69340,4180917000 ,16360 ,288201000 ,30350 ,937865000 ,11950 ,140838000 ,28590 ,164614000 ,19270 ,140267000 ,,,,,,,,,,
48,48025,Lakeland,57210,3161001000 ,23520 ,442263000 ,34670 ,790986000 ,15330 ,174661000 ,29250 ,179605000 ,22460 ,144497000 ,,,,,,,,,,
48,48026,Lethbridge,60400,2826549000 ,24650 ,582237000 ,29790 ,599375000 ,9180 ,144572000 ,26550 ,156071000 ,18830 ,133040000 ,,,,,,,,,,
48,48027,Medicine Hat--Cardston--Warner,54690,2544907000 ,24580 ,528545000 ,31150 ,623796000 ,12380 ,186255000 ,27640 ,160054000 ,19570 ,134350000 ,,,,,,,,,,
48,48028,Peace River--Westlock,53320,2772147000 ,18270 ,318034000 ,25490 ,554538000 ,12170 ,129778000 ,27690 ,163876000 ,16280 ,99691000 ,,,,,,,,,,
48,48029,Red Deer--Mountain View,62610,3489369000 ,24610 ,547275000 ,35080 ,1002747000 ,12870 ,166995000 ,26640 ,150814000 ,24020 ,192436000 ,,,,,,,,,,
48,48030,Red Deer--Lacombe,65500,3453653000 ,21680 ,436270000 ,32560 ,975315000 ,11640 ,155465000 ,30590 ,180052000 ,22960 ,163115000 ,,,,,,,,,,
48,48031,St. Albert--Edmonton,68650,4249112000 ,22520 ,612510000 ,32040 ,663444000 ,7290 ,131578000 ,25040 ,139835000 ,21040 ,168763000 ,,,,,,,,,,
48,48032,Sherwood Park--Fort Saskatchewan,70480,5057532000 ,23820 ,676260000 ,38250 ,1167324000 ,8570 ,133551000 ,23610 ,120715000 ,23490 ,203937000 ,,,,,,,,,,
48,48033,Sturgeon River--Parkland,67960,4373661000 ,23200 ,526728000 ,31880 ,827541000 ,9980 ,126760000 ,27990 ,155033000 ,21280 ,177916000 ,,,,,,,,,,
48,48034,Yellowhead,53910,3030903000 ,19320 ,375356000 ,26710 ,626232000 ,10490 ,84423000 ,24060 ,141179000 ,17500 ,138943000 ,,,,,,,,,,
TOTAL,,,2236350,137020638000 ,681850 ,15710018000 ,1094380 ,30152361000 ,333530 ,5285335000 ,906100 ,5358945000 ,731710 ,6688027000 ,,,,,,,,,,
