Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,,,,,,,
35,35026,Essex,96040,5120255000 ,4820 ,7360 ,6000 ,6190 ,7110 ,8310 ,8630 ,9570 ,9020 ,8020 ,7260 ,5070 ,8680 ,,,,,,,
35,35027,Etobicoke Centre,94070,5884595000 ,3600 ,7020 ,6610 ,6270 ,6120 ,6640 ,7980 ,9050 ,8810 ,7410 ,6250 ,4690 ,13620 ,,,,,,,
35,35028,Etobicoke--Lakeshore,99610,6125395000 ,2650 ,6550 ,8830 ,9670 ,9120 ,8360 ,8400 ,9130 ,8790 ,7470 ,6360 ,4480 ,9810 ,,,,,,,
35,35029,Etobicoke North,92570,2787741000 ,3850 ,9400 ,8970 ,8430 ,7700 ,7470 ,8240 ,8450 ,7460 ,5930 ,5240 ,3810 ,7620 ,,,,,,,
35,35030,Flamborough--Glanbrook,80620,4364225000 ,3890 ,6410 ,5960 ,6650 ,6840 ,6880 ,7250 ,7750 ,7010 ,5710 ,5180 ,3900 ,7170 ,,,,,,,
35,35031,Glengarry--Prescott--Russell,89130,4236639000 ,3710 ,6410 ,6070 ,5990 ,6130 ,6740 ,7570 ,9760 ,9160 ,7950 ,6740 ,5050 ,7860 ,,,,,,,
35,35032,Guelph,102110,5100968000 ,4370 ,8580 ,9280 ,9110 ,8650 ,8670 ,8720 ,9370 ,8420 ,7040 ,6070 ,4350 ,9480 ,,,,,,,
35,35033,Haldimand--Norfolk,87620,3733959000 ,3770 ,6480 ,5920 ,5680 ,5430 ,5690 ,6460 ,8390 ,8720 ,8490 ,7460 ,5500 ,9630 ,,,,,,,
35,35034,Haliburton--Kawartha Lakes--Brock,90630,3878878000 ,3190 ,5840 ,5450 ,5160 ,4880 ,5070 ,6080 ,8430 ,9560 ,9330 ,9060 ,6650 ,11930 ,,,,,,,
35,35035,Hamilton Centre,75470,2605062000 ,2030 ,6200 ,8000 ,7520 ,6220 ,5720 ,5920 ,7080 ,6600 ,5800 ,4910 ,3160 ,6310 ,,,,,,,
35,35036,Hamilton East--Stoney Creek,86250,3467115000 ,3000 ,6440 ,6710 ,6640 ,6190 ,6140 ,6960 ,8100 ,7930 ,7000 ,6430 ,4790 ,9940 ,,,,,,,
35,35037,Hamilton Mountain,83280,3278411000 ,3240 ,7380 ,7270 ,6570 ,5960 ,5930 ,6730 ,8090 ,7680 ,6210 ,5200 ,3810 ,9210 ,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,86880,4813703000 ,3900 ,7840 ,6580 ,5710 ,5710 ,6260 ,7090 ,7920 ,7850 ,6820 ,6300 ,4620 ,10290 ,,,,,,,
35,35039,Hastings--Lennox and Addington,84010,3428259000 ,2950 ,5500 ,5120 ,5230 ,5330 ,5630 ,6130 ,8240 ,8630 ,8320 ,8060 ,5600 ,9250 ,,,,,,,
35,35040,Huron--Bruce,81810,4025665000 ,3650 ,5910 ,5830 ,5740 ,5120 ,4880 ,5280 ,7160 ,7910 ,7910 ,7360 ,5300 ,9780 ,,,,,,,
35,35041,Kanata--Carleton,82520,5087753000 ,3780 ,6280 ,5680 ,6230 ,6880 ,7970 ,8390 ,9020 ,7570 ,5800 ,5070 ,3550 ,6300 ,,,,,,,
35,35042,Kenora,46030,1743808000 ,2100 ,4000 ,4020 ,3730 ,3560 ,3430 ,3620 ,4350 ,4380 ,3780 ,3250 ,2050 ,3780 ,,,,,,,
35,35043,King--Vaughan,98060,5710418000 ,5160 ,8320 ,7350 ,7990 ,9640 ,10380 ,11010 ,10420 ,7730 ,5440 ,4650 ,3260 ,6730 ,,,,,,,
35,35044,Kingston and the Islands,89650,4374190000 ,3140 ,7400 ,7900 ,7300 ,6500 ,6130 ,6600 ,8030 ,7570 ,6950 ,6610 ,4980 ,10540 ,,,,,,,
35,35045,Kitchener Centre,81040,3423610000 ,2690 ,6350 ,8080 ,7550 ,6430 ,5930 ,6420 ,7310 ,6830 ,5970 ,5080 ,3780 ,8630 ,,,,,,,
35,35046,Kitchener--Conestoga,72070,3704929000 ,3570 ,5800 ,5730 ,6500 ,6660 ,6510 ,6400 ,6740 ,5960 ,5110 ,4400 ,3240 ,5450 ,,,,,,,
35,35047,Kitchener South--Hespeler,80310,3871166000 ,3530 ,6940 ,7490 ,7620 ,7400 ,7420 ,7120 ,7410 ,6630 ,5580 ,4730 ,3280 ,5180 ,,,,,,,
35,35048,Lambton--Kent--Middlesex,81160,3719336000 ,3750 ,5980 ,5260 ,5350 ,5410 ,5630 ,6160 ,7750 ,7990 ,7340 ,6610 ,5120 ,8800 ,,,,,,,
35,35049,Lanark--Frontenac--Kingston,79320,3688384000 ,2900 ,5280 ,4990 ,4940 ,4620 ,5330 ,6080 ,7990 ,8190 ,7950 ,7290 ,5060 ,8700 ,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,82870,3742355000 ,3070 ,5470 ,4930 ,4740 ,4750 ,5600 ,6400 ,8230 ,8290 ,8140 ,7760 ,5690 ,9810 ,,,,,,,
35,35051,London--Fanshawe,91330,3308783000 ,3520 ,8120 ,8040 ,8050 ,7210 ,6830 ,7550 ,8910 ,8550 ,7010 ,5960 ,4170 ,7400 ,,,,,,,
35,35052,London North Centre,94930,4637372000 ,3270 ,9890 ,9870 ,7820 ,6670 ,6590 ,6890 ,8190 ,7700 ,6680 ,5930 ,4510 ,10920 ,,,,,,,
35,35053,London West,97450,4967751000 ,3710 ,7940 ,7720 ,7930 ,7610 ,7430 ,7850 ,8650 ,8240 ,7770 ,7290 ,5170 ,10150 ,,,,,,,
35,35054,Markham--Stouffville,95520,5068428000 ,3740 ,6710 ,6690 ,8010 ,9200 ,9830 ,8900 ,8710 ,7750 ,6950 ,6410 ,4510 ,8110 ,,,,,,,
35,35055,Markham--Thornhill,85150,3444691000 ,3030 ,7360 ,8470 ,7380 ,5870 ,6070 ,6790 ,8110 ,7780 ,7440 ,6430 ,3960 ,6450 ,,,,,,,
35,35056,Markham--Unionville,97470,4896802000 ,3990 ,7880 ,7640 ,7370 ,7530 ,9470 ,9910 ,10110 ,8690 ,7400 ,6110 ,3920 ,7450 ,,,,,,,
35,35057,Milton,78960,4345493000 ,3310 ,5120 ,5930 ,8790 ,11030 ,10210 ,7810 ,6470 ,5100 ,4400 ,4120 ,2680 ,4000 ,,,,,,,
35,35058,Mississauga Centre,100830,3842675000 ,3870 ,9470 ,9940 ,9530 ,8360 ,7990 ,8530 ,9450 ,8620 ,7250 ,6080 ,4210 ,7520 ,,,,,,,
35,35059,Mississauga East--Cooksville,96970,3786542000 ,3500 ,7440 ,7670 ,7720 ,7660 ,7960 ,8650 ,9390 ,8650 ,7430 ,6590 ,4870 ,9430 ,,,,,,,
35,35060,Mississauga--Erin Mills,95220,4384013000 ,4790 ,9610 ,7680 ,6780 ,7300 ,8840 ,9880 ,10270 ,8500 ,6460 ,5320 ,3600 ,6210 ,,,,,,,
35,35061,Mississauga--Lakeshore,92760,5999216000 ,3840 ,7240 ,6640 ,6660 ,6720 ,7450 ,8220 ,9700 ,8810 ,7170 ,6130 ,4520 ,9660 ,,,,,,,
35,35062,Mississauga--Malton,94060,3441699000 ,4370 ,9540 ,8860 ,8210 ,8110 ,8370 ,9410 ,9500 ,8160 ,6100 ,4790 ,3350 ,5300 ,,,,,,,
35,35063,Mississauga--Streetsville,93070,4576443000 ,4560 ,8830 ,7360 ,7020 ,7560 ,8430 ,9800 ,10510 ,8830 ,6520 ,5100 ,3270 ,5290 ,,,,,,,
35,35064,Nepean,94390,5308963000 ,3940 ,7690 ,7420 ,8000 ,8510 ,9540 ,9410 ,9690 ,7980 ,6290 ,5560 ,3830 ,6530 ,,,,,,,
35,35065,Newmarket--Aurora,93820,5186553000 ,4760 ,7950 ,6630 ,7130 ,7790 ,8760 ,9650 ,10370 ,8630 ,6420 ,5160 ,3520 ,7060 ,,,,,,,
35,35066,Niagara Centre,88840,3499195000 ,3520 ,7300 ,6560 ,5970 ,5760 ,6320 ,6890 ,8410 ,8210 ,7560 ,6920 ,5190 ,10250 ,,,,,,,
35,35067,Niagara Falls,109640,4604981000 ,4530 ,7750 ,7270 ,6820 ,6960 ,7720 ,8520 ,10160 ,10280 ,10040 ,9430 ,6920 ,13250 ,,,,,,,
35,35068,Niagara West,70660,3768463000 ,3460 ,5340 ,4630 ,4490 ,4900 ,5230 ,5820 ,6930 ,6380 ,5940 ,5400 ,4210 ,7930 ,,,,,,,
35,35069,Nickel Belt,74990,3644903000 ,3150 ,5300 ,4980 ,5280 ,5560 ,5950 ,6160 ,7830 ,7550 ,6630 ,5770 ,4220 ,6620 ,,,,,,,
35,35070,Nipissing--Timiskaming,73980,3209444000 ,2840 ,5460 ,5450 ,5130 ,4860 ,5130 ,5480 ,7380 ,7190 ,6490 ,5950 ,4250 ,8380 ,,,,,,,
35,35071,Northumberland--Peterborough South,86820,4099479000 ,3190 ,5890 ,5290 ,5070 ,5080 ,5580 ,6060 ,8610 ,8760 ,8380 ,8270 ,5960 ,10680 ,,,,,,,
35,35072,Oakville,95150,8167093000 ,4790 ,7960 ,5910 ,4880 ,6050 ,8290 ,9550 ,9650 ,9070 ,7050 ,6330 ,4960 ,10680 ,,,,,,,
35,35073,Oakville North--Burlington,93630,6297244000 ,4970 ,7260 ,5970 ,7100 ,9530 ,11820 ,11340 ,9880 ,7250 ,5270 ,4400 ,3150 ,5710 ,,,,,,,
35,35074,Oshawa,99070,4095372000 ,3160 ,8200 ,8500 ,7750 ,7010 ,6960 ,7650 ,10070 ,9310 ,7790 ,6980 ,5100 ,10600 ,,,,,,,
35,35075,Ottawa Centre,88970,5917522000 ,2370 ,6910 ,9710 ,9220 ,7720 ,7020 ,7070 ,7570 ,7010 ,6570 ,6170 ,3960 ,7690 ,,,,,,,
35,35076,Orléans,99370,5739412000 ,4170 ,8410 ,7400 ,7710 ,8110 ,8470 ,8710 ,10360 ,9880 ,8070 ,6980 ,4500 ,6590 ,,,,,,,
35,35077,Ottawa South,92060,4562934000 ,3430 ,8760 ,8580 ,7440 ,6690 ,6630 ,7250 ,8450 ,8190 ,6750 ,5900 ,4290 ,9700 ,,,,,,,
35,35078,Ottawa--Vanier,84560,4381557000 ,2370 ,6890 ,7560 ,7180 ,6340 ,6020 ,6590 ,7520 ,7300 ,6580 ,6170 ,4870 ,9180 ,,,,,,,
35,35079,Ottawa West--Nepean,85720,4298841000 ,2670 ,7440 ,7990 ,6780 ,5990 ,6000 ,6330 ,7490 ,7230 ,6300 ,5740 ,4340 ,11430 ,,,,,,,
35,35080,Oxford,95190,4303639000 ,4280 ,7370 ,7000 ,7210 ,6830 ,7040 ,7310 ,9020 ,8660 ,7810 ,7030 ,5220 ,10400 ,,,,,,,
35,35081,Parkdale--High Park,80050,4897000000 ,2010 ,4550 ,7530 ,9200 ,8560 ,7870 ,7320 ,7080 ,6240 ,5460 ,4670 ,3050 ,6530 ,,,,,,,
35,35082,Parry Sound--Muskoka,75290,3188826000 ,2830 ,4640 ,4460 ,4380 ,4170 ,4380 ,5040 ,7080 ,7570 ,7770 ,7390 ,5610 ,9980 ,,,,,,,
35,35083,Perth--Wellington,85380,3814375000 ,4690 ,7130 ,6540 ,6320 ,5840 ,6000 ,6260 ,7950 ,7810 ,7050 ,6010 ,4380 ,9400 ,,,,,,,
35,35084,Peterborough--Kawartha,93290,4060957000 ,3180 ,7100 ,6940 ,6530 ,5710 ,5650 ,6260 ,7890 ,8630 ,8630 ,8160 ,6130 ,12480 ,,,,,,,
35,35085,Pickering--Uxbridge,87990,4749822000 ,3880 ,7820 ,6750 ,6410 ,6140 ,6650 ,7850 ,9460 ,8760 ,7110 ,5770 ,3860 ,7540 ,,,,,,,
35,35086,Renfrew--Nipissing--Pembroke,89050,3891757000 ,3260 ,6130 ,6980 ,6590 ,5860 ,5740 ,6200 ,8220 ,8510 ,8100 ,7570 ,5500 ,10400 ,,,,,,,
35,35087,Richmond Hill,93530,4503592000 ,3520 ,7140 ,7450 ,6720 ,6450 ,7790 ,8730 ,9360 ,8690 ,7520 ,6930 ,4390 ,8840 ,,,,,,,
35,35088,Carleton,70250,4623166000 ,3390 ,5270 ,4490 ,5240 ,6160 ,7220 ,7520 ,7850 ,6160 ,4770 ,4300 ,2970 ,4910 ,,,,,,,
35,35089,St. Catharines,89430,3667231000 ,3160 ,7100 ,7120 ,6380 ,5820 ,5850 ,6410 ,7790 ,7750 ,7180 ,7320 ,5510 ,12060 ,,,,,,,
35,35090,Toronto--St. Paul's,84310,8345925000 ,2180 ,5190 ,8740 ,9280 ,7290 ,6610 ,6420 ,6420 ,6000 ,5930 ,5790 ,4450 ,9980 ,,,,,,,
35,35091,Sarnia--Lambton,85410,4446601000 ,3110 ,6460 ,6360 ,6010 ,5510 ,5630 ,5870 ,7590 ,8340 ,8010 ,7090 ,5240 ,10180 ,,,,,,,
35,35092,Sault Ste. Marie,66010,2810612000 ,2240 ,4840 ,4820 ,4480 ,4350 ,4310 ,4690 ,6210 ,6680 ,5850 ,5280 ,3870 ,8410 ,,,,,,,
35,35093,Scarborough--Agincourt,88170,2914964000 ,2610 ,7000 ,7840 ,6910 ,5750 ,6410 ,7460 ,8470 ,7350 ,6530 ,6150 ,4430 ,11270 ,,,,,,,
35,35094,Scarborough Centre,87120,2785123000 ,3110 ,7750 ,7790 ,7460 ,7060 ,7010 ,7580 ,8450 ,7540 ,6180 ,5070 ,3620 ,8500 ,,,,,,,
35,35095,Scarborough--Guildwood,79810,2646869000 ,3060 ,8010 ,7580 ,6770 ,6440 ,6250 ,6820 ,7160 ,6770 ,5480 ,4370 ,3450 ,7650 ,,,,,,,
35,35096,Scarborough North,83790,2458145000 ,2960 ,7430 ,7960 ,6930 ,5930 ,6190 ,7040 ,8170 ,7420 ,6660 ,5760 ,3780 ,7550 ,,,,,,,
35,35097,Scarborough--Rouge Park,79890,3178403000 ,3370 ,7440 ,6920 ,6180 ,5740 ,5810 ,6610 ,7690 ,7390 ,6610 ,5750 ,4050 ,6330 ,,,,,,,
35,35098,Scarborough Southwest,83550,3213154000 ,2880 ,6640 ,6610 ,7010 ,7020 ,7260 ,7910 ,8710 ,7820 ,6290 ,5040 ,3280 ,7070 ,,,,,,,
35,35099,Simcoe--Grey,102440,4941058000 ,4200 ,7140 ,7020 ,7140 ,6580 ,7270 ,7940 ,9890 ,9160 ,8770 ,8930 ,6790 ,11620 ,,,,,,,
35,35100,Simcoe North,88900,3687437000 ,3150 ,6300 ,6050 ,5610 ,5310 ,5630 ,6110 ,8510 ,8920 ,8560 ,7960 ,5980 ,10830 ,,,,,,,
35,35101,Spadina--Fort York,84870,6107785000 ,1170 ,6520 ,16620 ,16400 ,10070 ,6740 ,5200 ,4940 ,4400 ,3490 ,3000 ,2080 ,4250 ,,,,,,,
35,35102,Stormont--Dundas--South Glengarry,82170,3255506000 ,3000 ,6050 ,5720 ,5300 ,5130 ,5470 ,5910 ,8180 ,8150 ,7440 ,7060 ,5120 ,9650 ,,,,,,,
35,35103,Sudbury,74160,3559571000 ,2740 ,6110 ,6190 ,5730 ,5100 ,5060 ,5440 ,6850 ,6580 ,6030 ,5310 ,4170 ,8840 ,,,,,,,
35,35104,Thornhill,94740,5410356000 ,4050 ,7750 ,7420 ,6720 ,6780 ,8130 ,8540 ,9080 ,8870 ,7560 ,6760 ,4170 ,8930 ,,,,,,,
35,35105,Thunder Bay--Rainy River,65290,2820281000 ,2660 ,5150 ,4930 ,4440 ,4340 ,4550 ,4990 ,6070 ,6550 ,5930 ,5140 ,3470 ,7080 ,,,,,,,
35,35106,Thunder Bay--Superior North,65180,2965647000 ,2640 ,5000 ,4940 ,4630 ,4290 ,4490 ,4860 ,6100 ,6480 ,5970 ,5090 ,3500 ,7210 ,,,,,,,
35,35107,Timmins--James Bay,63120,2799085000 ,2610 ,4930 ,5150 ,4820 ,4530 ,4620 ,4950 ,6200 ,6300 ,5470 ,4540 ,3160 ,5850 ,,,,,,,
35,35108,Toronto Centre,78060,4356091000 ,1800 ,6570 ,10530 ,10520 ,7950 ,6210 ,6460 ,6930 ,5710 ,4660 ,3890 ,2600 ,4240 ,,,,,,,
35,35109,Toronto--Danforth,79930,4396130000 ,2020 ,4580 ,6370 ,8380 ,8870 ,8190 ,7530 ,7590 ,6500 ,5510 ,4730 ,3100 ,6560 ,,,,,,,
35,35110,University--Rosedale,90860,8198883000 ,2570 ,7320 ,10360 ,9320 ,6590 ,5750 ,6210 ,6840 ,6660 ,6390 ,6340 ,4920 ,11590 ,,,,,,,
35,35111,Vaughan--Woodbridge,83860,4389445000 ,4120 ,6660 ,6060 ,5620 ,6340 ,8090 ,8920 ,8170 ,6860 ,5490 ,5620 ,3880 ,8020 ,,,,,,,
35,35112,Waterloo,85290,4799124000 ,4350 ,9730 ,7510 ,6310 ,6240 ,6820 ,7550 ,7940 ,6980 ,5810 ,4870 ,3650 ,7530 ,,,,,,,
35,35113,Wellington--Halton Hills,93300,5483144000 ,4920 ,7450 ,5810 ,5680 ,6640 ,7900 ,8960 ,10450 ,8880 ,7030 ,6270 ,4700 ,8610 ,,,,,,,
35,35114,Whitby,95910,5367164000 ,4480 ,8140 ,6750 ,7280 ,8400 ,9600 ,9590 ,10130 ,8260 ,6440 ,5560 ,3790 ,7490 ,,,,,,,
35,35115,Willowdale,106020,4591810000 ,2740 ,8760 ,11970 ,11680 ,10280 ,9680 ,9410 ,9140 ,7750 ,6490 ,5470 ,3790 ,8900 ,,,,,,,
35,35116,Windsor--Tecumseh,94160,4171733000 ,3530 ,7120 ,6990 ,6580 ,6750 ,7290 ,7630 ,8530 ,8720 ,8020 ,7550 ,5350 ,10100 ,,,,,,,
35,35117,Windsor West,95680,3553720000 ,3880 ,9700 ,8320 ,7030 ,6940 ,7630 ,8370 ,9130 ,8070 ,6760 ,5940 ,4350 ,9560 ,,,,,,,
35,35118,York Centre,83160,3574851000 ,2870 ,6420 ,6610 ,7280 ,7530 ,7070 ,7530 ,7690 ,7070 ,5530 ,4940 ,3210 ,9400 ,,,,,,,
35,35119,York--Simcoe,77820,3736142000 ,3400 ,6240 ,6400 ,6460 ,6400 ,6510 ,7030 ,8430 ,7400 ,5830 ,4790 ,3290 ,5650 ,,,,,,,
35,35120,York South--Weston,89900,2976681000 ,3030 ,7260 ,7790 ,8050 ,7640 ,7370 ,8190 ,8960 ,8110 ,6280 ,5000 ,3670 ,8550 ,,,,,,,
35,35121,Humber River--Black Creek,85250,2345721000 ,3400 ,8660 ,8450 ,7920 ,7120 ,6810 ,7570 ,7860 ,6810 ,5130 ,4430 ,3390 ,7720 ,,,,,,,
TOTAL,,,10524680,514718012000 ,418290 ,848180 ,858480 ,849060 ,823450 ,847870 ,897140 ,1005900 ,931760 ,804870 ,717900 ,514570 ,1007220 ,,,,,,,
46,46001,Brandon--Souris,67620,3046361000 ,3040 ,5940 ,6280 ,6040 ,5580 ,5220 ,4610 ,5450 ,5560 ,5010 ,4420 ,3210 ,7250 ,,,,,,,
46,46002,Charleswood--St. James--Assiniboia--Headingley,65260,3464853000 ,2390 ,5000 ,4900 ,4820 ,4670 ,4790 ,4890 ,6020 ,5880 ,5290 ,4800 ,3810 ,8020 ,,,,,,,
46,46003,Churchill--Keewatinook Aski,56180,1442604000 ,2700 ,7120 ,6790 ,5740 ,5100 ,5050 ,5060 ,4950 ,4360 ,3240 ,2450 ,1570 ,2050 ,,,,,,,
46,46004,Dauphin--Swan River--Neepawa,68450,2511058000 ,3060 ,5320 ,4990 ,4940 ,4830 ,4810 ,4750 ,5690 ,6170 ,5970 ,5300 ,4020 ,8590 ,,,,,,,
46,46005,Elmwood--Transcona,70690,2829769000 ,2680 ,5930 ,6770 ,7100 ,6630 ,5980 ,5530 ,6330 ,5940 ,4880 ,4150 ,2730 ,6040 ,,,,,,,
46,46006,Kildonan--St. Paul,66940,3236950000 ,2710 ,5290 ,4930 ,5030 ,4980 ,5080 ,5200 ,6110 ,6120 ,5600 ,4700 ,3290 ,7930 ,,,,,,,
46,46007,Portage--Lisgar,70820,2901905000 ,4120 ,6840 ,6140 ,5950 ,5590 ,5550 ,5480 ,6180 ,5970 ,5040 ,4140 ,3180 ,6640 ,,,,,,,
46,46008,Provencher,72740,3161394000 ,4080 ,6680 ,6230 ,6480 ,6300 ,6110 ,5890 ,6750 ,6140 ,5260 ,4450 ,3110 ,5260 ,,,,,,,
46,46009,Saint Boniface--Saint Vital,70110,3431034000 ,2610 ,5630 ,5980 ,5950 ,5850 ,5720 ,5410 ,6070 ,5700 ,5270 ,4650 ,3540 ,7740 ,,,,,,,
46,46010,Selkirk--Interlake--Eastman,74030,3212306000 ,3250 ,5450 ,4870 ,4550 ,4510 ,5100 ,5640 ,7280 ,7450 ,7060 ,6300 ,4620 ,7960 ,,,,,,,
46,46011,Winnipeg Centre,68500,2212174000 ,2200 ,6350 ,7720 ,7580 ,6440 ,5630 ,5480 ,5950 ,5280 ,4550 ,3770 ,2460 ,5100 ,,,,,,,
46,46012,Winnipeg North,71400,2254707000 ,3210 ,6920 ,6960 ,6980 ,6860 ,6130 ,6180 ,6360 ,5830 ,4990 ,4180 ,2570 ,4230 ,,,,,,,
46,46013,Winnipeg South,78490,3794467000 ,4240 ,9440 ,7220 ,6590 ,6280 ,6550 ,6480 ,6860 ,6410 ,5530 ,4550 ,3040 ,5310 ,,,,,,,
46,46014,Winnipeg South Centre,72790,4551394000 ,2520 ,6090 ,7310 ,6620 ,5500 ,5330 ,5270 ,5810 ,5720 ,5500 ,4920 ,3450 ,8740 ,,,,,,,
TOTAL,,,974010,42050976000 ,42800 ,88000 ,87080 ,84360 ,79100 ,77060 ,75860 ,85800 ,82540 ,73200 ,62760 ,44590 ,90870 ,,,,,,,
47,47001,Battlefords--Lloydminster,54880,2493040000 ,2620 ,5020 ,5470 ,5400 ,4730 ,4100 ,3770 ,4630 ,4720 ,4130 ,3250 ,2260 ,4770 ,,,,,,,
47,47002,Cypress Hills--Grasslands,55050,2734264000 ,2940 ,4120 ,4160 ,4090 ,3770 ,3450 ,3640 ,4970 ,5510 ,4860 ,3920 ,2830 ,6800 ,,,,,,,
47,47003,Desnethé--Missinippi--Churchill River,46600,1362488000 ,2300 ,5550 ,5200 ,4380 ,3810 ,3840 ,3790 ,3970 ,3740 ,3150 ,2560 ,1660 ,2640 ,,,,,,,
47,47004,Carlton Trail--Eagle Creek,57890,2914005000 ,2930 ,4390 ,5110 ,5690 ,5230 ,4690 ,4330 ,5060 ,5090 ,4500 ,3460 ,2480 ,4930 ,,,,,,,
47,47005,Moose Jaw--Lake Centre--Lanigan,61300,3165352000 ,2580 ,4520 ,4800 ,4930 ,4760 ,4350 ,4040 ,5480 ,5840 ,5740 ,4580 ,3040 ,6650 ,,,,,,,
47,47006,Prince Albert,67130,2938801000 ,3200 ,5820 ,5800 ,5280 ,4940 ,4810 ,4910 ,5730 ,5830 ,5290 ,4570 ,3420 ,7530 ,,,,,,,
47,47007,Regina--Lewvan,70740,4085931000 ,2820 ,5860 ,7640 ,7690 ,6930 ,5740 ,5310 ,6100 ,5940 ,5070 ,3760 ,2520 ,5390 ,,,,,,,
47,47008,Regina--Qu'Appelle,57900,2634467000 ,2420 ,4870 ,5510 ,5510 ,5090 ,4700 ,4560 ,4970 ,4820 ,4360 ,3420 ,2490 ,5180 ,,,,,,,
47,47009,Regina--Wascana,65770,3774248000 ,2740 ,5860 ,6640 ,6200 ,5480 ,4870 ,4780 ,5610 ,5430 ,4590 ,3820 ,2800 ,6970 ,,,,,,,
47,47010,Saskatoon--Grasswood,64330,3860780000 ,2480 ,5680 ,7060 ,6380 ,5320 ,4560 ,4470 ,5280 ,5130 ,4510 ,3500 ,2660 ,7300 ,,,,,,,
47,47011,Saskatoon--University,61530,3656310000 ,2730 ,6190 ,6950 ,6160 ,5420 ,4990 ,4690 ,5280 ,4950 ,4110 ,3160 ,2100 ,4810 ,,,,,,,
47,47012,Saskatoon West,64660,2813024000 ,2560 ,5650 ,7370 ,7380 ,6340 ,5390 ,5160 ,5490 ,5180 ,4350 ,3260 ,2120 ,4410 ,,,,,,,
47,47013,Souris--Moose Mountain,59000,3250760000 ,2770 ,4800 ,5290 ,5200 ,4820 ,4290 ,4190 ,5110 ,5130 ,4590 ,3710 ,2800 ,6320 ,,,,,,,
47,47014,Yorkton--Melville,55760,2490008000 ,2280 ,3790 ,3730 ,3880 ,3910 ,3760 ,3820 ,4790 ,5140 ,4980 ,4360 ,3350 ,7970 ,,,,,,,
TOTAL,,,842540,42173480000 ,37370 ,72110 ,80710 ,78180 ,70540 ,63540 ,61440 ,72450 ,72440 ,64240 ,51340 ,36540 ,81650 ,,,,,,,
48,48001,Banff--Airdrie,99670,7346743000 ,4280 ,8260 ,10150 ,11440 ,10890 ,9810 ,8490 ,8610 ,8040 ,6850 ,5100 ,3060 ,4700 ,,,,,,,
48,48002,Battle River--Crowfoot,83690,4417677000 ,4290 ,6540 ,6510 ,6610 ,6220 ,5980 ,6070 ,7530 ,7790 ,6760 ,5890 ,4520 ,8980 ,,,,,,,
48,48003,Bow River,87150,4838399000 ,5220 ,7140 ,7230 ,8070 ,8290 ,7910 ,7550 ,7860 ,7460 ,6270 ,4980 ,3420 ,5760 ,,,,,,,
48,48004,Calgary Centre,95840,10854809000 ,1930 ,6370 ,14580 ,14240 ,10210 ,8170 ,7040 ,6960 ,7140 ,5840 ,4290 ,2740 ,6330 ,,,,,,,
48,48005,Calgary Confederation,92120,7606340000 ,2400 ,7100 ,11390 ,11290 ,8820 ,7280 ,6660 ,7240 ,7400 ,6220 ,4570 ,3210 ,8540 ,,,,,,,
48,48006,Calgary Forest Lawn,87330,3393576000 ,3370 ,7350 ,8680 ,9130 ,8430 ,7630 ,7590 ,8190 ,7860 ,5870 ,4870 ,3240 ,5150 ,,,,,,,
48,48007,Calgary Heritage,88810,6950984000 ,3450 ,6920 ,7880 ,8410 ,7960 ,7970 ,7700 ,7890 ,7860 ,6420 ,5390 ,3770 ,7210 ,,,,,,,
48,48008,Calgary Midnapore,94680,6772492000 ,4180 ,7670 ,8170 ,8590 ,8530 ,8600 ,8520 ,8950 ,8710 ,6750 ,5270 ,3700 ,7050 ,,,,,,,
48,48009,Calgary Nose Hill,90620,5482741000 ,3970 ,7540 ,8000 ,7980 ,7850 ,8330 ,8550 ,8860 ,8360 ,6760 ,5130 ,3150 ,6150 ,,,,,,,
48,48010,Calgary Rocky Ridge,96070,6838281000 ,4200 ,7550 ,8720 ,10410 ,10450 ,10460 ,9490 ,8710 ,7510 ,6090 ,4590 ,2810 ,5080 ,,,,,,,
48,48011,Calgary Shepard,107680,7320373000 ,4140 ,7810 ,11480 ,15210 ,13720 ,11290 ,9680 ,9310 ,8090 ,6100 ,4390 ,2630 ,3830 ,,,,,,,
48,48012,Calgary Signal Hill,90150,8263138000 ,3820 ,6600 ,7280 ,8200 ,8840 ,9420 ,8870 ,8650 ,8060 ,6040 ,4550 ,3110 ,6730 ,,,,,,,
48,48013,Calgary Skyview,100560,4031062000 ,4470 ,8750 ,11740 ,13590 ,12660 ,10760 ,8920 ,7710 ,6570 ,5380 ,4150 ,2460 ,3420 ,,,,,,,
48,48014,Edmonton Centre,87500,5648380000 ,2150 ,7510 ,11380 ,10720 ,8160 ,6650 ,6340 ,6900 ,6940 ,5720 ,4410 ,2880 ,7750 ,,,,,,,
48,48015,Edmonton Griesbach,88830,3770527000 ,2690 ,7380 ,8950 ,8960 ,7700 ,6810 ,7060 ,8000 ,7770 ,5990 ,4740 ,3730 ,9040 ,,,,,,,
