Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,,,,,,,
24,24007,Beauce,87410,3324082000 ,4080 ,6180 ,6180 ,6680 ,7170 ,6080 ,6440 ,8150 ,8410 ,7780 ,6650 ,4910 ,8690 ,,,,,,,
24,24008,Beauport--Limoilou,78130,2867365000 ,2450 ,5500 ,6570 ,6760 ,6260 ,5060 ,5120 ,6740 ,7180 ,6560 ,5950 ,4810 ,9190 ,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,78650,2911918000 ,2790 ,4820 ,4690 ,5060 ,5550 ,4780 ,5310 ,7100 ,8290 ,8000 ,7210 ,5760 ,9290 ,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,95310,3994014000 ,3940 ,6410 ,6240 ,6750 ,7240 ,6350 ,6580 ,8740 ,9280 ,8750 ,8070 ,6200 ,10780 ,,,,,,,
24,24011,Beloeil--Chambly,92990,4670889000 ,4110 ,6590 ,6130 ,7550 ,8900 ,8020 ,7880 ,8970 ,8550 ,7190 ,6490 ,5020 ,7610 ,,,,,,,
24,24012,Berthier--Maskinongé,84900,3010231000 ,3150 ,5250 ,5060 ,5760 ,6120 ,5470 ,6200 ,8460 ,9150 ,8650 ,7490 ,5690 ,8460 ,,,,,,,
24,24013,Thérèse-De Blainville,79090,4157265000 ,4130 ,6680 ,5040 ,5020 ,6040 ,7350 ,7860 ,8600 ,7380 ,5690 ,4830 ,3900 ,6580 ,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,81650,4534830000 ,3630 ,5960 ,5230 ,5920 ,6650 ,6490 ,7040 ,8310 ,8070 ,6840 ,5970 ,4650 ,6880 ,,,,,,,
24,24015,Bourassa,76640,2175834000 ,2510 ,5670 ,5790 ,5980 ,6530 ,6440 ,6590 ,6570 ,6220 ,5580 ,4920 ,4000 ,9840 ,,,,,,,
24,24016,Brome--Missisquoi,85290,3537246000 ,3240 ,4910 ,4690 ,5170 ,5760 ,5450 ,5970 ,7950 ,8780 ,9010 ,8600 ,6380 ,9380 ,,,,,,,
24,24017,Brossard--Saint-Lambert,86350,4502651000 ,3050 ,5890 ,5870 ,6410 ,7180 ,6890 ,6820 ,7240 ,7150 ,6980 ,6910 ,5670 ,10280 ,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,71550,2676466000 ,2730 ,4500 ,4340 ,4420 ,4930 ,4380 ,4580 ,6450 ,7690 ,7610 ,6560 ,4750 ,8600 ,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,85820,3700384000 ,3420 ,5690 ,5980 ,6800 ,7600 ,6710 ,6570 ,7700 ,7700 ,6830 ,6680 ,5450 ,8680 ,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,78280,3298090000 ,3450 ,4970 ,4630 ,5340 ,5930 ,5540 ,5920 ,7670 ,8300 ,7610 ,6540 ,4780 ,7610 ,,,,,,,
24,24021,Châteauguay--Lacolle,79240,3119751000 ,3250 ,6180 ,5840 ,6430 ,6950 ,6510 ,6660 ,7700 ,7390 ,5930 ,5120 ,4080 ,7200 ,,,,,,,
24,24022,Chicoutimi--Le Fjord,67210,2720487000 ,2450 ,4860 ,4560 ,4720 ,4630 ,4090 ,4180 ,6310 ,7230 ,6400 ,5570 ,4310 ,7910 ,,,,,,,
24,24023,Compton--Stanstead,83260,3321565000 ,3830 ,5670 ,5400 ,6270 ,7160 ,6410 ,6690 ,7920 ,8000 ,7430 ,6640 ,4670 ,7180 ,,,,,,,
24,24024,Dorval--Lachine--LaSalle,88430,3391002000 ,2990 ,6530 ,6640 ,7510 ,7670 ,7160 ,7490 ,8280 ,7690 ,6610 ,5790 ,4520 ,9550 ,,,,,,,
24,24025,Drummond,82790,3016345000 ,3650 ,5800 ,5710 ,6200 ,7170 ,6010 ,6110 ,7530 ,7740 ,7490 ,6660 ,4950 ,7770 ,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,66980,2255368000 ,2400 ,3680 ,3400 ,3480 ,3860 ,4180 ,4820 ,6580 ,7640 ,7420 ,6580 ,4670 ,8290 ,,,,,,,
24,24027,Gatineau,83700,3680240000 ,3260 ,7000 ,6560 ,6390 ,6540 ,6520 ,7000 ,8890 ,8310 ,6670 ,5580 ,4220 ,6790 ,,,,,,,
24,24028,Hochelaga,83940,3050058000 ,1900 ,6100 ,8800 ,9690 ,8810 ,6420 ,6140 ,6700 ,6660 ,5900 ,4780 ,3790 ,8270 ,,,,,,,
24,24029,Honoré-Mercier,82610,3119828000 ,2890 ,5940 ,5590 ,5720 ,6500 ,6670 ,7120 ,7500 ,7170 ,6220 ,5920 ,4680 ,10700 ,,,,,,,
24,24030,Hull--Aylmer,78310,3669189000 ,2770 ,6180 ,6260 ,6520 ,6970 ,6570 ,6510 ,7550 ,7490 ,6240 ,5050 ,3610 ,6590 ,,,,,,,
24,24031,Joliette,85030,3046808000 ,2980 ,5450 ,5220 ,5450 ,5650 ,5380 ,5760 ,7990 ,9080 ,8640 ,7730 ,6050 ,9660 ,,,,,,,
24,24032,Jonquière,73950,2972370000 ,2800 ,4990 ,5140 ,5700 ,6170 ,4960 ,4930 ,6930 ,8060 ,7260 ,5920 ,4390 ,6720 ,,,,,,,
24,24033,La Pointe-de-l'Île,85360,3199960000 ,2640 ,6300 ,6410 ,6630 ,6980 ,6260 ,6650 ,8490 ,8970 ,7340 ,5720 ,4410 ,8570 ,,,,,,,
24,24034,La Prairie,85650,4198205000 ,4070 ,6890 ,5650 ,6350 ,8140 ,8420 ,8450 ,9130 ,7980 ,6060 ,5160 ,3930 ,5410 ,,,,,,,
24,24035,Lac-Saint-Jean,86890,3164149000 ,3780 ,5690 ,5340 ,6040 ,6310 ,5260 ,5550 ,8460 ,9800 ,8640 ,7190 ,5350 ,9500 ,,,,,,,
24,24036,Lac-Saint-Louis,85350,5143611000 ,4320 ,7370 ,5000 ,4400 ,5460 ,6470 ,8100 ,9510 ,8440 ,6730 ,5730 ,4380 ,9450 ,,,,,,,
24,24037,LaSalle--Émard--Verdun,85640,3063450000 ,2170 ,6030 ,8300 ,9310 ,8280 ,6810 ,6360 ,7070 ,7280 ,6400 ,5290 ,3920 ,8420 ,,,,,,,
24,24038,Laurentides--Labelle,96080,3725125000 ,3190 ,4930 ,4820 ,5140 ,5920 ,5750 ,6630 ,9580 ,11210 ,10980 ,9890 ,7420 ,10620 ,,,,,,,
24,24039,Laurier--Sainte-Marie,87080,3631994000 ,1440 ,6910 ,12930 ,12370 ,10060 ,6880 ,6050 ,6390 ,5970 ,5470 ,4330 ,3040 ,5250 ,,,,,,,
24,24040,Laval--Les Îles,83580,3610958000 ,3530 ,6300 ,5310 ,5970 ,7150 ,7930 ,8320 ,8370 ,7180 ,5650 ,5160 ,4290 ,8420 ,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,84990,2921742000 ,2930 ,6640 ,7150 ,7420 ,7450 ,6540 ,6390 ,7670 ,7710 ,6760 ,6150 ,4830 ,7370 ,,,,,,,
24,24042,Lévis--Lotbinière,89390,4122970000 ,4540 ,6560 ,6230 ,7250 ,8440 ,7620 ,7340 ,8590 ,8360 ,7710 ,6620 ,4380 ,5760 ,,,,,,,
24,24043,Longueuil--Saint-Hubert,87970,3844590000 ,3130 ,6610 ,6580 ,6600 ,7120 ,6670 ,6720 ,8170 ,8560 ,7390 ,6480 ,5120 ,8800 ,,,,,,,
24,24044,Louis-Hébert,86250,4805004000 ,3190 ,7730 ,7040 ,5720 ,5600 ,4880 ,5240 ,6740 ,7840 ,7610 ,7070 ,5910 ,11690 ,,,,,,,
24,24045,Louis-Saint-Laurent,93700,4348028000 ,4000 ,6740 ,7310 ,7890 ,8360 ,7340 ,7320 ,8930 ,8320 ,7380 ,6640 ,5490 ,8000 ,,,,,,,
24,24046,Manicouagan,74320,3126814000 ,3170 ,5160 ,4960 ,5330 ,5610 ,5580 ,6230 ,7800 ,7910 ,6640 ,5390 ,3990 ,6560 ,,,,,,,
24,24047,Mégantic--L'Érable,72690,2464308000 ,2950 ,4470 ,4080 ,4410 ,4960 ,4370 ,4680 ,6600 ,7460 ,7520 ,6820 ,5150 ,9220 ,,,,,,,
