Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
13,13002,Beauséjour,34820,1198764000 ,2360 ,2420 ,3330 ,4210 ,3510 ,3190 ,2660 ,2390 ,2180 ,1560 ,1180 ,940 ,1450 ,1270 ,910 ,390 ,630 ,200 ,60 ,
13,13003,Fredericton,33110,1230694000 ,3350 ,2490 ,2760 ,3130 ,2870 ,2370 ,2110 ,1970 ,2080 ,1630 ,1240 ,1170 ,1750 ,1500 ,930 ,550 ,850 ,270 ,100 ,
13,13004,Fundy Royal,32650,1109234000 ,2910 ,2610 ,2960 ,3630 ,3170 ,2750 ,2280 ,2220 ,1940 ,1490 ,1050 ,850 ,1450 ,1240 ,820 ,440 ,620 ,180 ,50 ,
13,13005,Madawaska--Restigouche,26550,762460000 ,2030 ,2540 ,2950 ,4210 ,2960 ,2450 ,1920 ,1600 ,1360 ,960 ,640 ,460 ,730 ,850 ,410 ,140 ,240 ,70 ,30 ,
13,13006,Miramichi--Grand Lake,24780,673979000 ,3030 ,2230 ,2770 ,3880 ,2570 ,2170 ,1580 ,1270 ,1080 ,780 ,660 ,540 ,710 ,630 ,440 ,170 ,220 ,50 ,10 ,
13,13007,Moncton--Riverview--Dieppe,39160,1370575000 ,2830 ,3090 ,3440 ,4480 ,3940 ,3390 ,2770 ,2730 ,2400 ,1820 ,1350 ,1100 ,1780 ,1440 ,1010 ,500 ,760 ,230 ,90 ,
13,13008,New Brunswick Southwest,26890,859136000 ,2490 ,2220 ,2630 ,3290 ,2820 ,2300 ,1890 ,1740 ,1540 ,1160 ,860 ,690 ,930 ,940 ,560 ,290 ,420 ,90 ,50 ,
13,13009,Saint John--Rothesay,33660,1157700000 ,2690 ,2700 ,3200 ,4030 ,3570 ,2780 ,2280 ,2210 ,1970 ,1540 ,1090 ,870 ,1320 ,1190 ,770 ,440 ,710 ,220 ,100 ,
13,13010,Tobique--Mactaquac,28310,844475000 ,3080 ,2570 ,3020 ,3680 ,2950 ,2370 ,1990 ,1750 ,1510 ,1050 ,770 ,570 ,870 ,870 ,510 ,230 ,370 ,120 ,40 ,
TOTAL,,,314420,10165361000 ,27680 ,26230 ,31200 ,40510 ,32010 ,26910 ,21750 ,19750 ,17590 ,13120 ,9620 ,7780 ,11900 ,10880 ,6880 ,3400 ,5130 ,1530 ,570 ,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,31350,890198000 ,6350 ,2930 ,3250 ,3360 ,2410 ,1960 ,1730 ,1560 ,1380 ,1120 ,880 ,730 ,1070 ,910 ,540 ,370 ,600 ,160 ,60 ,
24,24002,Abitibi--Témiscamingue,41780,1292491000 ,4060 ,3610 ,4830 ,5750 ,3870 ,2990 ,2670 ,2690 ,2490 ,1730 ,1350 ,1060 ,1510 ,1260 ,680 ,380 ,580 ,170 ,100 ,
24,24003,Ahuntsic-Cartierville,47580,1657114000 ,6390 ,4080 ,4870 ,6000 ,3930 ,2790 ,2390 ,2390 ,2370 ,1790 ,1570 ,1270 ,2090 ,1760 ,1090 ,650 ,1440 ,510 ,220 ,
24,24004,Alfred-Pellan,41850,1588015000 ,3660 ,2890 ,3730 ,4240 ,3570 ,2870 ,2730 ,2840 ,2700 ,2160 ,1750 ,1460 ,2210 ,1820 ,1010 ,580 ,1110 ,360 ,170 ,
24,24005,Argenteuil--La Petite-Nation,39780,1267888000 ,3270 ,3400 ,4870 ,5150 ,3840 ,2810 ,2690 ,2400 ,2290 ,1720 ,1360 ,1160 ,1700 ,1280 ,640 ,410 ,570 ,170 ,80 ,
24,24006,Avignon--La Mitis--Matane--Matapédia,30730,831691000 ,2950 ,2700 ,4150 ,5240 ,3000 ,2310 ,2040 ,1770 ,1600 ,1120 ,910 ,570 ,850 ,710 ,310 ,160 ,230 ,80 ,20 ,
24,24007,Beauce,43360,1315546000 ,2890 ,3310 ,5500 ,5890 ,4660 ,3850 ,3310 ,3040 ,2660 ,1970 ,1390 ,1040 ,1410 ,1110 ,470 ,260 ,390 ,150 ,70 ,
24,24008,Beauport--Limoilou,41220,1337977000 ,2210 ,2880 ,4330 ,5870 ,4090 ,3360 ,3060 ,3150 ,2820 ,2050 ,1640 ,1300 ,1680 ,1210 ,620 ,320 ,500 ,110 ,50 ,
24,24009,Bécancour--Nicolet--Saurel,39690,1156277000 ,3250 ,3470 ,5110 ,6020 ,4110 ,2980 ,2700 ,2520 ,2260 ,1550 ,1210 ,890 ,1300 ,970 ,500 ,260 ,430 ,110 ,60 ,
24,24010,Bellechasse--Les Etchemins--Lévis,48680,1691988000 ,2810 ,3180 ,5090 ,6110 ,4400 ,3780 ,3590 ,3680 ,3410 ,2630 ,1970 ,1560 ,2290 ,1620 ,900 ,510 ,790 ,230 ,100 ,
