Summary Statistics of CCB Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of CCB Recipients,,1 Child,,2 Children,,3 Children,,4 Children,,5 or more Children,,Previously Dependent Children,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,
48,48011,Calgary Shepard,17250,91168000 ,6960 ,21471000 ,7160 ,39690000 ,1980 ,18751000 ,440 ,6532000 ,150 ,3577000 ,570 ,1146000 ,,,,,,,,
48,48012,Calgary Signal Hill,9390,49459000 ,3930 ,13153000 ,3650 ,19928000 ,1060 ,9816000 ,250 ,3737000 ,80 ,2018000 ,410 ,807000 ,,,,,,,,
48,48013,Calgary Skyview,20670,145611000 ,8240 ,31992000 ,8010 ,58830000 ,2630 ,32105000 ,790 ,13942000 ,250 ,6853000 ,760 ,1890000 ,,,,,,,,
48,48014,Edmonton Centre,7950,50637000 ,3840 ,15693000 ,2660 ,19288000 ,770 ,9016000 ,190 ,3487000 ,80 ,2008000 ,410 ,1147000 ,,,,,,,,
48,48015,Edmonton Griesbach,12020,93427000 ,5230 ,22407000 ,3820 ,30639000 ,1540 ,20404000 ,530 ,10407000 ,270 ,7726000 ,620 ,1843000 ,,,,,,,,
48,48016,Edmonton Manning,14470,97617000 ,5760 ,21308000 ,5340 ,36158000 ,1920 ,21980000 ,590 ,10266000 ,220 ,6317000 ,630 ,1588000 ,,,,,,,,
48,48017,Edmonton Mill Woods,15090,99325000 ,6050 ,22526000 ,5900 ,40447000 ,1840 ,21168000 ,490 ,8586000 ,180 ,5038000 ,640 ,1560000 ,,,,,,,,
48,48018,Edmonton Riverbend,11370,60591000 ,4570 ,14762000 ,4520 ,25126000 ,1400 ,12856000 ,300 ,4537000 ,90 ,2087000 ,480 ,1224000 ,,,,,,,,
48,48019,Edmonton Strathcona,7630,42745000 ,3600 ,13070000 ,2710 ,17131000 ,710 ,7192000 ,150 ,2413000 ,70 ,1915000 ,390 ,1024000 ,,,,,,,,
48,48020,Edmonton West,13590,80395000 ,5770 ,20615000 ,5200 ,33348000 ,1500 ,15478000 ,400 ,6440000 ,130 ,3128000 ,600 ,1386000 ,,,,,,,,
48,48021,Edmonton--Wetaskiwin,19040,102837000 ,7330 ,23388000 ,7770 ,43420000 ,2530 ,22647000 ,570 ,7852000 ,180 ,3970000 ,660 ,1561000 ,,,,,,,,
48,48022,Foothills,10570,69886000 ,3740 ,14158000 ,4010 ,24790000 ,1560 ,15663000 ,510 ,7591000 ,250 ,6290000 ,500 ,1395000 ,,,,,,,,
48,48023,Fort McMurray--Cold Lake,10030,60625000 ,4190 ,14945000 ,3470 ,20739000 ,1370 ,13651000 ,430 ,6348000 ,150 ,3636000 ,420 ,1307000 ,,,,,,,,
48,48024,Grande Prairie--Mackenzie,14210,89833000 ,5230 ,18470000 ,5210 ,30464000 ,2160 ,20299000 ,740 ,10716000 ,320 ,8173000 ,550 ,1711000 ,,,,,,,,
48,48025,Lakeland,12300,87369000 ,4340 ,16899000 ,4330 ,27941000 ,1960 ,19898000 ,710 ,11166000 ,370 ,9629000 ,590 ,1836000 ,,,,,,,,
48,48026,Lethbridge,12440,89431000 ,4630 ,17572000 ,4450 ,29705000 ,1740 ,19076000 ,700 ,11346000 ,400 ,10468000 ,510 ,1265000 ,,,,,,,,
48,48027,Medicine Hat--Cardston--Warner,12140,96432000 ,4240 ,17365000 ,4220 ,29981000 ,1820 ,21157000 ,780 ,13209000 ,490 ,13165000 ,600 ,1554000 ,,,,,,,,
48,48028,Peace River--Westlock,13670,116823000 ,4670 ,18856000 ,4370 ,31103000 ,2260 ,26101000 ,970 ,16261000 ,780 ,22503000 ,630 ,1998000 ,,,,,,,,
48,48029,Red Deer--Mountain View,11710,68314000 ,4400 ,15410000 ,4530 ,26737000 ,1650 ,15792000 ,430 ,5971000 ,130 ,3136000 ,570 ,1267000 ,,,,,,,,
48,48030,Red Deer--Lacombe,14770,105669000 ,5590 ,21918000 ,5280 ,36118000 ,2110 ,22807000 ,720 ,11869000 ,380 ,10804000 ,700 ,2153000 ,,,,,,,,
48,48031,St. Albert--Edmonton,12970,74149000 ,4950 ,15944000 ,5180 ,29586000 ,1740 ,16741000 ,460 ,7051000 ,160 ,3781000 ,490 ,1046000 ,,,,,,,,
48,48032,Sherwood Park--Fort Saskatchewan,11260,53125000 ,4080 ,12130000 ,4750 ,22697000 ,1550 ,11483000 ,370 ,4224000 ,100 ,1779000 ,420 ,811000 ,,,,,,,,
48,48033,Sturgeon River--Parkland,13170,76322000 ,4620 ,15492000 ,5250 ,29456000 ,1990 ,17345000 ,570 ,7731000 ,220 ,5119000 ,520 ,1179000 ,,,,,,,,
48,48034,Yellowhead,10210,66282000 ,3750 ,13949000 ,3780 ,23644000 ,1490 ,14390000 ,480 ,7427000 ,200 ,5444000 ,510 ,1428000 ,,,,,,,,
TOTAL,,,421800,2657786000 ,165480 ,594121000 ,158980 ,993960000 ,55530 ,572071000 ,16590 ,263704000 ,7160 ,188241000 ,18060 ,45689000 ,,,,,,,,
59,59001,Abbotsford,11150,77086000 ,4310 ,17631000 ,4290 ,31205000 ,1500 ,16837000 ,410 ,6393000 ,140 ,3793000 ,500 ,1228000 ,,,,,,,,
59,59002,Burnaby North--Seymour,8910,45988000 ,4080 ,14724000 ,3550 ,21450000 ,700 ,6615000 ,100 ,1677000 ,30 ,601000 ,450 ,921000 ,,,,,,,,
59,59003,Burnaby South,10060,57730000 ,5150 ,20232000 ,3630 ,26652000 ,650 ,7457000 ,90 ,1596000 ,20 ,605000 ,510 ,1188000 ,,,,,,,,
59,59004,Cariboo--Prince George,11750,75806000 ,4690 ,18313000 ,4320 ,29421000 ,1530 ,16606000 ,370 ,6045000 ,140 ,3705000 ,700 ,1716000 ,,,,,,,,
59,59005,Central Okanagan--Similkameen--Nicola,9270,59135000 ,4000 ,16273000 ,3480 ,24180000 ,960 ,10879000 ,260 ,4541000 ,70 ,2007000 ,510 ,1255000 ,,,,,,,,
59,59006,Chilliwack--Hope,10970,78716000 ,4220 ,17333000 ,3950 ,28685000 ,1530 ,17562000 ,490 ,7699000 ,240 ,6059000 ,540 ,1378000 ,,,,,,,,
59,59007,Cloverdale--Langley City,14580,83533000 ,5800 ,20044000 ,6210 ,39180000 ,1600 ,16303000 ,320 ,5027000 ,70 ,1740000 ,580 ,1239000 ,,,,,,,,
59,59008,Coquitlam--Port Coquitlam,13770,74283000 ,6390 ,23201000 ,5450 ,35054000 ,1030 ,10938000 ,160 ,2654000 ,30 ,892000 ,700 ,1544000 ,,,,,,,,
59,59009,Courtenay--Alberni,9790,66565000 ,4300 ,18467000 ,3590 ,27050000 ,990 ,12317000 ,250 ,4434000 ,100 ,2787000 ,570 ,1510000 ,,,,,,,,
59,59010,Cowichan--Malahat--Langford,11280,71399000 ,4950 ,19318000 ,4250 ,29151000 ,1150 ,13753000 ,260 ,4557000 ,120 ,3230000 ,550 ,1389000 ,,,,,,,,
59,59011,Delta,10160,56261000 ,3970 ,14156000 ,4380 ,26769000 ,1040 ,10477000 ,170 ,2745000 ,40 ,1143000 ,560 ,971000 ,,,,,,,,
59,59012,Fleetwood--Port Kells,13930,87891000 ,5760 ,22561000 ,5640 ,40494000 ,1460 ,17006000 ,280 ,4660000 ,60 ,1647000 ,730 ,1522000 ,,,,,,,,
59,59013,Kamloops--Thompson--Cariboo,12020,71588000 ,5030 ,19316000 ,4740 ,31048000 ,1190 ,12619000 ,290 ,4672000 ,90 ,2291000 ,690 ,1642000 ,,,,,,,,
59,59014,Kelowna--Lake Country,11180,65240000 ,4580 ,17269000 ,4560 ,29190000 ,1140 ,11434000 ,260 ,4119000 ,70 ,1902000 ,580 ,1326000 ,,,,,,,,
59,59015,Kootenay--Columbia,10740,65625000 ,4370 ,16750000 ,4320 ,28316000 ,1130 ,11684000 ,300 ,4399000 ,120 ,3305000 ,500 ,1170000 ,,,,,,,,
59,59016,Langley--Aldergrove,12500,71845000 ,4720 ,16553000 ,5150 ,31623000 ,1590 ,15304000 ,350 ,4973000 ,100 ,2225000 ,590 ,1166000 ,,,,,,,,
59,59017,Mission--Matsqui--Fraser Canyon,10840,76508000 ,4150 ,17336000 ,4230 ,31444000 ,1410 ,16577000 ,390 ,6452000 ,130 ,3496000 ,520 ,1204000 ,,,,,,,,
59,59018,Nanaimo--Ladysmith,11320,72035000 ,4840 ,19380000 ,4330 ,30930000 ,1160 ,13983000 ,250 ,4380000 ,70 ,1829000 ,670 ,1534000 ,,,,,,,,
59,59019,New Westminster--Burnaby,10840,61867000 ,5400 ,20369000 ,3820 ,26316000 ,860 ,9834000 ,170 ,3018000 ,40 ,1089000 ,550 ,1241000 ,,,,,,,,
59,59020,North Okanagan--Shuswap,11280,76722000 ,4450 ,18559000 ,4300 ,30660000 ,1350 ,15558000 ,400 ,6493000 ,140 ,3972000 ,640 ,1481000 ,,,,,,,,
59,59021,North Vancouver,9760,46836000 ,4640 ,16517000 ,3870 ,22069000 ,650 ,5720000 ,90 ,1306000 ,10 ,266000 ,510 ,958000 ,,,,,,,,
59,59022,Pitt Meadows--Maple Ridge,11210,60123000 ,4700 ,16147000 ,4570 ,27338000 ,1120 ,11002000 ,240 ,3524000 ,50 ,1167000 ,530 ,945000 ,,,,,,,,
59,59023,Port Moody--Coquitlam,11070,58259000 ,4980 ,17502000 ,4380 ,26523000 ,940 ,9529000 ,150 ,2239000 ,40 ,955000 ,590 ,1510000 ,,,,,,,,
59,59024,Prince George--Peace River--Northern Rockies,11720,73265000 ,4520 ,16123000 ,4400 ,27505000 ,1550 ,15357000 ,440 ,6466000 ,240 ,6555000 ,560 ,1258000 ,,,,,,,,
59,59025,Richmond Centre,8990,52395000 ,4570 ,18678000 ,3240 ,24003000 ,570 ,6692000 ,70 ,1273000 ,20 ,593000 ,520 ,1156000 ,,,,,,,,
59,59026,Esquimalt--Saanich--Sooke,10990,62183000 ,4760 ,16886000 ,4450 ,28746000 ,1000 ,10804000 ,200 ,3326000 ,50 ,1348000 ,530 ,1074000 ,,,,,,,,
59,59027,Saanich--Gulf Islands,7960,44085000 ,3310 ,11786000 ,3260 ,19851000 ,790 ,8363000 ,150 ,2298000 ,40 ,1018000 ,420 ,770000 ,,,,,,,,
59,59028,Skeena--Bulkley Valley,10060,75293000 ,3960 ,16710000 ,3530 ,26598000 ,1340 ,16749000 ,430 ,7784000 ,210 ,5809000 ,600 ,1643000 ,,,,,,,,
59,59029,South Okanagan--West Kootenay,10100,63541000 ,4310 ,17525000 ,3900 ,27614000 ,1000 ,11347000 ,250 ,3961000 ,80 ,1802000 ,570 ,1292000 ,,,,,,,,
59,59030,South Surrey--White Rock,8210,43759000 ,3550 ,13086000 ,3300 ,20483000 ,720 ,6770000 ,140 ,1849000 ,30 ,571000 ,470 ,999000 ,,,,,,,,
59,59031,Steveston--Richmond East,9870,56523000 ,4810 ,18563000 ,3630 ,25588000 ,750 ,8052000 ,140 ,2397000 ,30 ,778000 ,510 ,1145000 ,,,,,,,,
59,59032,Surrey Centre,14200,104088000 ,6250 ,27670000 ,5180 ,42497000 ,1530 ,20351000 ,410 ,8017000 ,130 ,3785000 ,700 ,1767000 ,,,,,,,,
59,59033,Surrey--Newton,14850,104680000 ,6180 ,25981000 ,6070 ,47905000 ,1560 ,19984000 ,310 ,5767000 ,120 ,3615000 ,610 ,1428000 ,,,,,,,,
59,59034,Vancouver Centre,4910,22533000 ,3100 ,10727000 ,1390 ,8849000 ,170 ,1886000 ,30 ,411000 ,10 ,120000 ,220 ,541000 ,,,,,,,,
59,59035,Vancouver East,8640,49742000 ,4440 ,17365000 ,3050 ,21036000 ,600 ,7263000 ,100 ,1931000 ,40 ,1127000 ,410 ,1021000 ,,,,,,,,
59,59036,Vancouver Granville,6510,31834000 ,3510 ,12384000 ,2200 ,13690000 ,380 ,3701000 ,60 ,847000 ,20 ,483000 ,330 ,729000 ,,,,,,,,
59,59037,North Island--Powell River,9610,63756000 ,3960 ,16301000 ,3600 ,25581000 ,1100 ,13095000 ,270 ,4744000 ,90 ,2694000 ,580 ,1341000 ,,,,,,,,
59,59038,Vancouver Kingsway,10030,57730000 ,4880 ,19175000 ,3740 ,26998000 ,730 ,8059000 ,110 ,1756000 ,20 ,581000 ,540 ,1161000 ,,,,,,,,
59,59039,Vancouver Quadra,6100,30901000 ,3070 ,11151000 ,2160 ,13576000 ,400 ,3947000 ,70 ,1013000 ,10 ,284000 ,390 ,930000 ,,,,,,,,
59,59040,Vancouver South,10180,62633000 ,4830 ,19893000 ,3830 ,28281000 ,810 ,9735000 ,150 ,2794000 ,30 ,696000 ,540 ,1234000 ,,,,,,,,
59,59041,Victoria,8680,47289000 ,4480 ,17199000 ,3060 ,19971000 ,580 ,6075000 ,130 ,2142000 ,40 ,989000 ,390 ,913000 ,,,,,,,,
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,9680,56143000 ,4350 ,16869000 ,3800 ,25606000 ,820 ,8865000 ,170 ,2641000 ,50 ,1220000 ,500 ,941000 ,,,,,,,,
TOTAL,,,439640,2663414000 ,192320 ,742023000 ,168790 ,1149125000 ,43050 ,477090000 ,9660 ,159019000 ,3180 ,84776000 ,22640 ,51381000 ,,,,,,,,
60,60001,Yukon,3780,20672000 ,1730 ,6281000 ,1290 ,7687000 ,440 ,4286000 ,100 ,1409000 ,20 ,512000 ,200 ,498000 ,,,,,,,,
TOTAL,,,3780,20672000 ,1730 ,6281000 ,1290 ,7687000 ,440 ,4286000 ,100 ,1409000 ,20 ,512000 ,200 ,498000 ,,,,,,,,
61,61001,Northwest Territories,4690,30081000 ,2060 ,7946000 ,1470 ,9363000 ,630 ,6624000 ,220 ,3464000 ,90 ,2044000 ,220 ,640000 ,,,,,,,,
TOTAL,,,4690,30081000 ,2060 ,7946000 ,1470 ,9363000 ,630 ,6624000 ,220 ,3464000 ,90 ,2044000 ,220 ,640000 ,,,,,,,,
62,62001,Nunavut,5530,51853000 ,2070 ,9420000 ,1550 ,13347000 ,900 ,12054000 ,500 ,8868000 ,280 ,7386000 ,250 ,777000 ,,,,,,,,
TOTAL,,,5530,51853000 ,2070 ,9420000 ,1550 ,13347000 ,900 ,12054000 ,500 ,8868000 ,280 ,7386000 ,250 ,777000 ,,,,,,,,
TOTAL,,,3616600,23204521000 ,1502250 ,5809034000 ,1371290 ,9342393000 ,420940 ,4740703000 ,107030 ,1827181000 ,39220 ,1075122000 ,175870 ,410087000 ,,,,,,,,
