Summary Statistics of CCB Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of CCB Recipients,,1 Child,,2 Children,,3 Children,,4 Children,,5 or more Children,,Previously Dependent Children,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,
13,13008,New Brunswick Southwest,7030,44468000 ,3060 ,12068000 ,2630 ,18563000 ,730 ,8451000 ,180 ,3165000 ,60 ,1406000 ,380 ,816000 ,,,,,,,,
13,13009,Saint John--Rothesay,8300,57660000 ,3970 ,17566000 ,2810 ,22608000 ,770 ,10011000 ,200 ,3942000 ,80 ,2334000 ,470 ,1199000 ,,,,,,,,
13,13010,Tobique--Mactaquac,7600,52752000 ,3130 ,12839000 ,2860 ,21595000 ,880 ,11160000 ,220 ,4123000 ,70 ,1807000 ,440 ,1228000 ,,,,,,,,
TOTAL,,,77270,493922000 ,34940 ,143182000 ,28480 ,206231000 ,7330 ,88744000 ,1710 ,31266000 ,540 ,14654000 ,4270 ,9844000 ,,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,11340,90437000 ,4490 ,19124000 ,3700 ,28297000 ,1650 ,20573000 ,620 ,11186000 ,350 ,9607000 ,530 ,1651000 ,,,,,,,,
24,24002,Abitibi--Témiscamingue,10960,65138000 ,4050 ,14279000 ,4250 ,26088000 ,1580 ,14997000 ,420 ,6046000 ,110 ,2598000 ,560 ,1130000 ,,,,,,,,
24,24003,Ahuntsic-Cartierville,12730,95109000 ,5340 ,22860000 ,4810 ,39225000 ,1640 ,22087000 ,350 ,6741000 ,110 ,2986000 ,500 ,1210000 ,,,,,,,,
24,24004,Alfred-Pellan,11200,67079000 ,4570 ,16575000 ,4450 ,28891000 ,1350 ,14926000 ,260 ,4347000 ,50 ,1430000 ,520 ,911000 ,,,,,,,,
24,24005,Argenteuil--La Petite-Nation,10200,64425000 ,4320 ,16811000 ,3750 ,26423000 ,1180 ,13265000 ,290 ,4642000 ,80 ,2024000 ,590 ,1260000 ,,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,7090,46500000 ,2860 ,11184000 ,2640 ,19058000 ,900 ,10080000 ,230 ,3816000 ,60 ,1555000 ,400 ,806000 ,,,,,,,,
24,24007,Beauce,12180,78935000 ,4180 ,15288000 ,5020 ,33201000 ,1850 ,19557000 ,470 ,7484000 ,90 ,2356000 ,560 ,1049000 ,,,,,,,,
24,24008,Beauport--Limoilou,8760,52851000 ,4050 ,15627000 ,3190 ,21934000 ,850 ,9526000 ,190 ,3141000 ,70 ,1773000 ,420 ,850000 ,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,8940,57379000 ,3620 ,13800000 ,3410 ,23534000 ,1080 ,12189000 ,290 ,4855000 ,70 ,2112000 ,470 ,889000 ,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,11460,65899000 ,4320 ,14979000 ,4660 ,28340000 ,1490 ,14643000 ,310 ,4653000 ,100 ,2263000 ,570 ,1022000 ,,,,,,,,
24,24011,Beloeil--Chambly,14360,72070000 ,5370 ,16860000 ,6250 ,34073000 ,1720 ,14781000 ,340 ,4294000 ,60 ,1128000 ,630 ,933000 ,,,,,,,,
24,24012,Berthier--Maskinongé,10620,69059000 ,4220 ,16389000 ,4170 ,30030000 ,1250 ,14099000 ,300 ,5123000 ,90 ,2175000 ,590 ,1242000 ,,,,,,,,
24,24013,Thérèse-De Blainville,11030,56374000 ,4420 ,15035000 ,4530 ,25210000 ,1220 ,11258000 ,230 ,3094000 ,50 ,839000 ,590 ,937000 ,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,10920,55043000 ,4140 ,12948000 ,4690 ,25482000 ,1320 ,11514000 ,260 ,3627000 ,30 ,746000 ,480 ,726000 ,,,,,,,,
24,24015,Bourassa,12280,103189000 ,5340 ,26318000 ,4270 ,40106000 ,1670 ,24604000 ,400 ,8219000 ,90 ,2497000 ,520 ,1445000 ,,,,,,,,
24,24016,Brome--Missisquoi,9910,65450000 ,3750 ,14463000 ,3840 ,26575000 ,1290 ,14372000 ,380 ,6469000 ,100 ,2448000 ,540 ,1124000 ,,,,,,,,
24,24017,Brossard--Saint-Lambert,10560,63648000 ,4520 ,16914000 ,4240 ,28667000 ,1100 ,12262000 ,210 ,3625000 ,50 ,1292000 ,430 ,887000 ,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,8030,47998000 ,3150 ,11364000 ,3240 ,21131000 ,950 ,9803000 ,230 ,3476000 ,60 ,1405000 ,410 ,819000 ,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,12210,63777000 ,4840 ,15785000 ,5210 ,30239000 ,1320 ,12102000 ,260 ,3586000 ,50 ,1107000 ,520 ,959000 ,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,9750,52213000 ,3890 ,12842000 ,3970 ,23412000 ,1130 ,10589000 ,230 ,3242000 ,60 ,1305000 ,480 ,824000 ,,,,,,,,
24,24021,Châteauguay--Lacolle,11680,73887000 ,4420 ,16233000 ,4710 ,31679000 ,1530 ,16571000 ,370 ,5962000 ,90 ,2240000 ,560 ,1204000 ,,,,,,,,
24,24022,Chicoutimi--Le Fjord,7400,41090000 ,3000 ,10800000 ,2980 ,18660000 ,830 ,7919000 ,170 ,2413000 ,20 ,528000 ,400 ,771000 ,,,,,,,,
24,24023,Compton--Stanstead,12410,77811000 ,4360 ,15501000 ,5030 ,32201000 ,1790 ,18612000 ,480 ,7333000 ,110 ,2965000 ,640 ,1198000 ,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,12440,87833000 ,5630 ,24190000 ,4520 ,35890000 ,1360 ,18074000 ,290 ,5732000 ,90 ,2647000 ,560 ,1300000 ,,,,,,,,
24,24025,Drummond,11650,75846000 ,4420 ,17127000 ,4560 ,31273000 ,1490 ,16198000 ,420 ,6930000 ,120 ,2833000 ,650 ,1484000 ,,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,6880,39311000 ,3300 ,12649000 ,2420 ,16852000 ,570 ,6339000 ,120 ,1858000 ,30 ,733000 ,450 ,882000 ,,,,,,,,
24,24027,Gatineau,12380,72635000 ,5220 ,19292000 ,4700 ,30297000 ,1330 ,14286000 ,320 ,4927000 ,110 ,2519000 ,700 ,1314000 ,,,,,,,,
24,24028,Hochelaga,9880,66707000 ,4860 ,20836000 ,3410 ,27299000 ,920 ,12193000 ,190 ,3806000 ,50 ,1446000 ,450 ,1127000 ,,,,,,,,
24,24029,Honoré-Mercier,11730,80733000 ,4950 ,20448000 ,4500 ,33810000 ,1400 ,17808000 ,290 ,5362000 ,80 ,2157000 ,530 ,1147000 ,,,,,,,,
24,24030,Hull--Aylmer,11240,67625000 ,4630 ,17216000 ,4310 ,27592000 ,1350 ,14003000 ,310 ,5110000 ,100 ,2662000 ,540 ,1043000 ,,,,,,,,
24,24031,Joliette,10140,68877000 ,4310 ,17666000 ,3650 ,26868000 ,1160 ,13854000 ,320 ,5531000 ,130 ,3658000 ,570 ,1299000 ,,,,,,,,
24,24032,Jonquière,9740,56047000 ,3750 ,13116000 ,3950 ,24625000 ,1220 ,12260000 ,290 ,4134000 ,50 ,1068000 ,470 ,844000 ,,,,,,,,
24,24033,La Pointe-de-l'Île,11340,74376000 ,5200 ,21249000 ,4110 ,31405000 ,1150 ,14025000 ,240 ,4469000 ,70 ,1881000 ,580 ,1346000 ,,,,,,,,
24,24034,La Prairie,13650,72116000 ,5300 ,17504000 ,5790 ,33019000 ,1540 ,14456000 ,320 ,4514000 ,70 ,1559000 ,630 ,1065000 ,,,,,,,,
24,24035,Lac-Saint-Jean,10780,68362000 ,3930 ,14747000 ,4280 ,28741000 ,1580 ,16664000 ,350 ,5552000 ,70 ,1525000 ,560 ,1134000 ,,,,,,,,
24,24036,Lac-Saint-Louis,10040,54154000 ,3820 ,12806000 ,4260 ,25275000 ,1170 ,11335000 ,190 ,2822000 ,40 ,879000 ,570 ,1036000 ,,,,,,,,
24,24037,LaSalle--Émard--Verdun,10810,70860000 ,5410 ,22706000 ,3730 ,29511000 ,950 ,12103000 ,200 ,3975000 ,50 ,1478000 ,460 ,1087000 ,,,,,,,,
24,24038,Laurentides--Labelle,10090,63866000 ,4400 ,17718000 ,3810 ,27436000 ,1000 ,11740000 ,230 ,3864000 ,70 ,1786000 ,580 ,1322000 ,,,,,,,,
