Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
35,35051,London--Fanshawe,39810,17061000 ,35010 ,13207000 ,2250 ,1598000 ,1360 ,1082000 ,1180 ,1174000 ,,,,,,,,,,,,
35,35052,London North Centre,40920,16657000 ,37430 ,13919000 ,1630 ,1152000 ,1130 ,876000 ,730 ,709000 ,,,,,,,,,,,,
35,35053,London West,34460,14015000 ,31170 ,11441000 ,1460 ,1011000 ,1070 ,816000 ,760 ,747000 ,,,,,,,,,,,,
35,35054,Markham--Stouffville,30230,12359000 ,27070 ,9999000 ,1340 ,905000 ,1250 ,931000 ,570 ,523000 ,,,,,,,,,,,,
35,35055,Markham--Thornhill,37820,16247000 ,33010 ,12538000 ,2170 ,1504000 ,1800 ,1414000 ,830 ,792000 ,,,,,,,,,,,,
35,35056,Markham--Unionville,36820,15582000 ,32680 ,12510000 ,2160 ,1466000 ,1530 ,1187000 ,460 ,420000 ,,,,,,,,,,,,
35,35057,Milton,21850,9245000 ,18730 ,6858000 ,1110 ,746000 ,1130 ,838000 ,880 ,802000 ,,,,,,,,,,,,
35,35058,Mississauga Centre,42460,17990000 ,37070 ,13804000 ,2300 ,1570000 ,1880 ,1466000 ,1210 ,1150000 ,,,,,,,,,,,,
35,35059,Mississauga East--Cooksville,40340,17090000 ,35450 ,13283000 ,2100 ,1452000 ,1730 ,1347000 ,1060 ,1008000 ,,,,,,,,,,,,
35,35060,Mississauga--Erin Mills,35110,14733000 ,30590 ,11154000 ,1770 ,1237000 ,1570 ,1227000 ,1170 ,1114000 ,,,,,,,,,,,,
35,35061,Mississauga--Lakeshore,31800,12770000 ,29010 ,10628000 ,1280 ,886000 ,950 ,733000 ,560 ,522000 ,,,,,,,,,,,,
35,35062,Mississauga--Malton,41330,17955000 ,35360 ,13301000 ,2610 ,1810000 ,2090 ,1619000 ,1270 ,1225000 ,,,,,,,,,,,,
35,35063,Mississauga--Streetsville,31840,12780000 ,28680 ,10385000 ,1360 ,925000 ,1150 ,880000 ,650 ,590000 ,,,,,,,,,,,,
35,35064,Nepean,27090,10888000 ,24420 ,8845000 ,1180 ,811000 ,830 ,625000 ,650 ,607000 ,,,,,,,,,,,,
35,35065,Newmarket--Aurora,30920,12440000 ,28110 ,10287000 ,1410 ,1001000 ,950 ,736000 ,450 ,417000 ,,,,,,,,,,,,
35,35066,Niagara Centre,36920,15177000 ,33820 ,12752000 ,1590 ,1157000 ,920 ,720000 ,580 ,548000 ,,,,,,,,,,,,
35,35067,Niagara Falls,43810,18028000 ,40090 ,15156000 ,1900 ,1334000 ,1120 ,866000 ,710 ,671000 ,,,,,,,,,,,,
35,35068,Niagara West,19770,7632000 ,18470 ,6674000 ,640 ,430000 ,380 ,286000 ,290 ,242000 ,,,,,,,,,,,,
35,35069,Nickel Belt,23640,9480000 ,21840 ,8126000 ,1050 ,731000 ,480 ,371000 ,270 ,251000 ,,,,,,,,,,,,
35,35070,Nipissing--Timiskaming,28930,11951000 ,26570 ,10159000 ,1280 ,891000 ,710 ,552000 ,370 ,349000 ,,,,,,,,,,,,
35,35071,Northumberland--Peterborough South,28450,11405000 ,26340 ,9803000 ,1050 ,745000 ,660 ,503000 ,400 ,353000 ,,,,,,,,,,,,
35,35072,Oakville,28510,11156000 ,26440 ,9551000 ,1010 ,706000 ,720 ,568000 ,340 ,331000 ,,,,,,,,,,,,
35,35073,Oakville North--Burlington,24990,9957000 ,22480 ,8035000 ,1040 ,708000 ,920 ,713000 ,540 ,501000 ,,,,,,,,,,,,
35,35074,Oshawa,40860,17106000 ,36980 ,14060000 ,2120 ,1557000 ,1150 ,907000 ,610 ,582000 ,,,,,,,,,,,,
35,35075,Ottawa Centre,30730,12125000 ,29120 ,10828000 ,830 ,601000 ,470 ,376000 ,320 ,319000 ,,,,,,,,,,,,
35,35076,Orléans,26940,10402000 ,24960 ,8896000 ,940 ,645000 ,590 ,440000 ,450 ,421000 ,,,,,,,,,,,,
35,35077,Ottawa South,36850,15722000 ,32570 ,12137000 ,1770 ,1254000 ,1280 ,1062000 ,1230 ,1269000 ,,,,,,,,,,,,
35,35078,Ottawa--Vanier,35920,15021000 ,32560 ,12275000 ,1490 ,1078000 ,980 ,795000 ,890 ,873000 ,,,,,,,,,,,,
35,35079,Ottawa West--Nepean,33340,13786000 ,30280 ,11286000 ,1300 ,916000 ,980 ,784000 ,780 ,799000 ,,,,,,,,,,,,
35,35080,Oxford,31340,12680000 ,28560 ,10546000 ,1230 ,846000 ,830 ,613000 ,730 ,675000 ,,,,,,,,,,,,
35,35081,Parkdale--High Park,31640,12707000 ,29670 ,11163000 ,1100 ,797000 ,630 ,503000 ,240 ,244000 ,,,,,,,,,,,,
35,35082,Parry Sound--Muskoka,27960,11571000 ,25710 ,9860000 ,1110 ,776000 ,740 ,581000 ,390 ,354000 ,,,,,,,,,,,,
35,35083,Perth--Wellington,28190,11379000 ,25630 ,9383000 ,1020 ,699000 ,660 ,492000 ,880 ,805000 ,,,,,,,,,,,,
35,35084,Peterborough--Kawartha,36780,15154000 ,33750 ,12828000 ,1560 ,1096000 ,950 ,747000 ,530 ,482000 ,,,,,,,,,,,,
35,35085,Pickering--Uxbridge,29430,11730000 ,26960 ,9819000 ,1120 ,783000 ,830 ,643000 ,510 ,485000 ,,,,,,,,,,,,
35,35086,Renfrew--Nipissing--Pembroke,29200,11914000 ,26900 ,10190000 ,1170 ,806000 ,660 ,494000 ,480 ,425000 ,,,,,,,,,,,,
35,35087,Richmond Hill,37190,15391000 ,33690 ,12778000 ,2000 ,1383000 ,1150 ,904000 ,350 ,327000 ,,,,,,,,,,,,
35,35088,Carleton,16290,6243000 ,15130 ,5367000 ,540 ,364000 ,370 ,282000 ,250 ,230000 ,,,,,,,,,,,,
35,35089,St. Catharines,37830,15639000 ,34740 ,13216000 ,1560 ,1130000 ,940 ,744000 ,590 ,548000 ,,,,,,,,,,,,
35,35090,Toronto--St. Paul's,29530,11542000 ,27940 ,10372000 ,920 ,634000 ,510 ,388000 ,160 ,148000 ,,,,,,,,,,,,
35,35091,Sarnia--Lambton,28310,11487000 ,25960 ,9657000 ,1290 ,934000 ,660 ,527000 ,400 ,369000 ,,,,,,,,,,,,
35,35092,Sault Ste. Marie,26260,10809000 ,24160 ,9173000 ,1160 ,845000 ,610 ,487000 ,330 ,304000 ,,,,,,,,,,,,
35,35093,Scarborough--Agincourt,43470,18630000 ,38540 ,14830000 ,2350 ,1640000 ,1820 ,1430000 ,750 ,729000 ,,,,,,,,,,,,
35,35094,Scarborough Centre,43270,18696000 ,37620 ,14218000 ,2490 ,1761000 ,1920 ,1513000 ,1240 ,1203000 ,,,,,,,,,,,,
35,35095,Scarborough--Guildwood,39860,17592000 ,33930 ,12844000 ,2550 ,1807000 ,2040 ,1623000 ,1350 ,1319000 ,,,,,,,,,,,,
35,35096,Scarborough North,42380,18462000 ,36700 ,14070000 ,2560 ,1768000 ,2130 ,1685000 ,990 ,939000 ,,,,,,,,,,,,
35,35097,Scarborough--Rouge Park,34160,14222000 ,30450 ,11299000 ,1660 ,1179000 ,1240 ,971000 ,810 ,772000 ,,,,,,,,,,,,
35,35098,Scarborough Southwest,39420,17204000 ,34090 ,12990000 ,2400 ,1703000 ,1910 ,1510000 ,1020 ,1001000 ,,,,,,,,,,,,
35,35099,Simcoe--Grey,33430,13574000 ,30690 ,11500000 ,1370 ,972000 ,860 ,645000 ,510 ,457000 ,,,,,,,,,,,,
35,35100,Simcoe North,34730,14357000 ,31860 ,12161000 ,1490 ,1062000 ,850 ,660000 ,530 ,474000 ,,,,,,,,,,,,
35,35101,Spadina--Fort York,29100,11366000 ,27750 ,10313000 ,790 ,564000 ,390 ,314000 ,180 ,175000 ,,,,,,,,,,,,
35,35102,Stormont--Dundas--South Glengarry,33100,14049000 ,29760 ,11415000 ,1590 ,1122000 ,970 ,770000 ,790 ,742000 ,,,,,,,,,,,,
35,35103,Sudbury,29050,11733000 ,26930 ,10056000 ,1190 ,860000 ,590 ,487000 ,340 ,330000 ,,,,,,,,,,,,
35,35104,Thornhill,33970,13654000 ,31070 ,11493000 ,1540 ,1053000 ,930 ,709000 ,430 ,398000 ,,,,,,,,,,,,
35,35105,Thunder Bay--Rainy River,24650,10304000 ,22380 ,8450000 ,1100 ,801000 ,670 ,547000 ,510 ,506000 ,,,,,,,,,,,,
35,35106,Thunder Bay--Superior North,24200,9961000 ,22180 ,8338000 ,1010 ,720000 ,560 ,445000 ,460 ,457000 ,,,,,,,,,,,,
35,35107,Timmins--James Bay,23830,10428000 ,21180 ,8223000 ,1260 ,913000 ,780 ,643000 ,610 ,649000 ,,,,,,,,,,,,
35,35108,Toronto Centre,37650,15210000 ,34990 ,13069000 ,1330 ,948000 ,830 ,676000 ,510 ,517000 ,,,,,,,,,,,,
35,35109,Toronto--Danforth,32410,13357000 ,30030 ,11457000 ,1220 ,885000 ,770 ,619000 ,400 ,395000 ,,,,,,,,,,,,
35,35110,University--Rosedale,41810,15897000 ,40750 ,15091000 ,620 ,440000 ,340 ,272000 ,100 ,93000 ,,,,,,,,,,,,
35,35111,Vaughan--Woodbridge,28270,11236000 ,25990 ,9505000 ,1020 ,704000 ,820 ,633000 ,430 ,393000 ,,,,,,,,,,,,
35,35112,Waterloo,29390,11455000 ,27200 ,9758000 ,1030 ,723000 ,710 ,547000 ,440 ,428000 ,,,,,,,,,,,,
35,35113,Wellington--Halton Hills,26490,10128000 ,24930 ,8979000 ,770 ,525000 ,530 ,390000 ,270 ,233000 ,,,,,,,,,,,,
35,35114,Whitby,29490,11751000 ,26940 ,9767000 ,1170 ,836000 ,870 ,682000 ,510 ,466000 ,,,,,,,,,,,,
35,35115,Willowdale,43150,17764000 ,39440 ,15040000 ,2260 ,1547000 ,1130 ,883000 ,320 ,293000 ,,,,,,,,,,,,
35,35116,Windsor--Tecumseh,37240,15435000 ,33480 ,12449000 ,1810 ,1304000 ,1140 ,915000 ,800 ,768000 ,,,,,,,,,,,,
35,35117,Windsor West,45810,19572000 ,40570 ,15237000 ,2180 ,1563000 ,1600 ,1290000 ,1460 ,1482000 ,,,,,,,,,,,,
35,35118,York Centre,39650,16639000 ,35650 ,13595000 ,2140 ,1485000 ,1320 ,1039000 ,540 ,519000 ,,,,,,,,,,,,
35,35119,York--Simcoe,26170,10652000 ,23780 ,8839000 ,1130 ,786000 ,830 ,630000 ,440 ,397000 ,,,,,,,,,,,,
35,35120,York South--Weston,46860,20472000 ,41490 ,16107000 ,2760 ,2020000 ,1670 ,1386000 ,940 ,960000 ,,,,,,,,,,,,
35,35121,Humber River--Black Creek,48930,21940000 ,42100 ,16334000 ,3210 ,2350000 ,2200 ,1824000 ,1420 ,1432000 ,,,,,,,,,,,,
TOTAL,,,3963210,1638961000 ,3576820 ,1338006000 ,182150 ,128081000 ,126180 ,98467000 ,78050 ,74406000 ,,,,,,,,,,,,
46,46001,Brandon--Souris,24050,10165000 ,21160 ,7819000 ,1180 ,811000 ,800 ,618000 ,910 ,917000 ,,,,,,,,,,,,
46,46002,Charleswood--St. James--Assiniboia--Headingley,20900,8116000 ,19440 ,6990000 ,760 ,527000 ,430 ,332000 ,280 ,267000 ,,,,,,,,,,,,
46,46003,Churchill--Keewatinook Aski,32420,16739000 ,24400 ,9323000 ,3010 ,2290000 ,2100 ,1827000 ,2910 ,3300000 ,,,,,,,,,,,,
46,46004,Dauphin--Swan River--Neepawa,28970,12721000 ,25230 ,9582000 ,1480 ,1068000 ,1090 ,879000 ,1170 ,1192000 ,,,,,,,,,,,,
46,46005,Elmwood--Transcona,26880,11073000 ,23880 ,8811000 ,1420 ,983000 ,930 ,691000 ,650 ,588000 ,,,,,,,,,,,,
46,46006,Kildonan--St. Paul,23610,9320000 ,21680 ,7890000 ,970 ,657000 ,620 ,465000 ,340 ,308000 ,,,,,,,,,,,,
46,46007,Portage--Lisgar,25870,11446000 ,21610 ,7931000 ,1160 ,790000 ,1140 ,843000 ,1960 ,1882000 ,,,,,,,,,,,,
46,46008,Provencher,23060,9856000 ,19810 ,7260000 ,960 ,629000 ,930 ,672000 ,1360 ,1296000 ,,,,,,,,,,,,
46,46009,Saint Boniface--Saint Vital,25350,10139000 ,23040 ,8387000 ,1080 ,738000 ,710 ,529000 ,520 ,484000 ,,,,,,,,,,,,
46,46010,Selkirk--Interlake--Eastman,25570,10613000 ,23250 ,8713000 ,1020 ,721000 ,630 ,500000 ,670 ,680000 ,,,,,,,,,,,,
46,46011,Winnipeg Centre,38910,16155000 ,34970 ,13027000 ,1740 ,1212000 ,1170 ,900000 ,1030 ,1015000 ,,,,,,,,,,,,
46,46012,Winnipeg North,34680,14979000 ,29620 ,11025000 ,2180 ,1509000 ,1700 ,1293000 ,1180 ,1152000 ,,,,,,,,,,,,
46,46013,Winnipeg South,27830,10967000 ,24970 ,8816000 ,1330 ,899000 ,1010 ,772000 ,520 ,479000 ,,,,,,,,,,,,
46,46014,Winnipeg South Centre,25910,10020000 ,24140 ,8716000 ,850 ,581000 ,640 ,477000 ,280 ,245000 ,,,,,,,,,,,,
TOTAL,,,384010,162308000 ,337200 ,124290000 ,19130 ,13415000 ,13910 ,10798000 ,13790 ,13805000 ,,,,,,,,,,,,
47,47001,Battlefords--Lloydminster,19560,8870000 ,16600 ,6346000 ,1270 ,947000 ,830 ,691000 ,860 ,887000 ,,,,,,,,,,,,
47,47002,Cypress Hills--Grasslands,16860,6914000 ,15130 ,5560000 ,600 ,406000 ,530 ,393000 ,600 ,555000 ,,,,,,,,,,,,
47,47003,Desnethé--Missinippi--Churchill River,25690,13134000 ,19990 ,7940000 ,2400 ,1857000 ,1500 ,1334000 ,1800 ,2003000 ,,,,,,,,,,,,
47,47004,Carlton Trail--Eagle Creek,16730,7022000 ,14900 ,5556000 ,690 ,471000 ,530 ,424000 ,610 ,570000 ,,,,,,,,,,,,
47,47005,Moose Jaw--Lake Centre--Lanigan,18710,7671000 ,17040 ,6350000 ,720 ,517000 ,490 ,379000 ,460 ,426000 ,,,,,,,,,,,,
47,47006,Prince Albert,25810,11541000 ,22330 ,8614000 ,1480 ,1071000 ,990 ,808000 ,1000 ,1047000 ,,,,,,,,,,,,
47,47007,Regina--Lewvan,19590,7838000 ,17670 ,6412000 ,960 ,643000 ,570 ,420000 ,390 ,364000 ,,,,,,,,,,,,
47,47008,Regina--Qu'Appelle,22000,9880000 ,19010 ,7376000 ,1320 ,964000 ,840 ,694000 ,820 ,846000 ,,,,,,,,,,,,
47,47009,Regina--Wascana,22540,9181000 ,20540 ,7624000 ,950 ,646000 ,570 ,446000 ,480 ,465000 ,,,,,,,,,,,,
47,47010,Saskatoon--Grasswood,20040,8027000 ,18190 ,6627000 ,900 ,607000 ,570 ,431000 ,380 ,363000 ,,,,,,,,,,,,
47,47011,Saskatoon--University,19230,7695000 ,17310 ,6269000 ,950 ,642000 ,560 ,411000 ,400 ,373000 ,,,,,,,,,,,,
47,47012,Saskatoon West,26010,11419000 ,22580 ,8600000 ,1500 ,1090000 ,1030 ,826000 ,900 ,903000 ,,,,,,,,,,,,
47,47013,Souris--Moose Mountain,17020,7186000 ,15100 ,5659000 ,850 ,580000 ,530 ,417000 ,540 ,531000 ,,,,,,,,,,,,
47,47014,Yorkton--Melville,20010,8513000 ,18050 ,6935000 ,870 ,614000 ,590 ,469000 ,500 ,495000 ,,,,,,,,,,,,
TOTAL,,,289760,124891000 ,254430 ,95868000 ,15440 ,11055000 ,10130 ,8141000 ,9750 ,9828000 ,,,,,,,,,,,,
48,48001,Banff--Airdrie,24930,10028000 ,22680 ,8284000 ,1100 ,785000 ,670 ,508000 ,490 ,452000 ,,,,,,,,,,,,
48,48002,Battle River--Crowfoot,25080,10440000 ,22710 ,8535000 ,940 ,647000 ,710 ,537000 ,720 ,721000 ,,,,,,,,,,,,
48,48003,Bow River,25870,11282000 ,22220 ,8314000 ,1340 ,943000 ,950 ,720000 ,1370 ,1305000 ,,,,,,,,,,,,
48,48004,Calgary Centre,29380,11566000 ,27910 ,10472000 ,840 ,565000 ,430 ,335000 ,210 ,194000 ,,,,,,,,,,,,
48,48005,Calgary Confederation,28850,11436000 ,27060 ,10100000 ,920 ,621000 ,580 ,450000 ,290 ,264000 ,,,,,,,,,,,,
48,48006,Calgary Forest Lawn,36010,15560000 ,31420 ,11980000 ,1880 ,1302000 ,1430 ,1084000 ,1270 ,1194000 ,,,,,,,,,,,,
48,48007,Calgary Heritage,23900,9435000 ,21910 ,7971000 ,1000 ,687000 ,630 ,463000 ,360 ,314000 ,,,,,,,,,,,,
48,48008,Calgary Midnapore,25250,9859000 ,23430 ,8492000 ,930 ,648000 ,550 ,415000 ,340 ,304000 ,,,,,,,,,,,,
48,48009,Calgary Nose Hill,27950,11373000 ,25120 ,9229000 ,1270 ,861000 ,940 ,702000 ,620 ,580000 ,,,,,,,,,,,,
48,48010,Calgary Rocky Ridge,23250,9123000 ,21230 ,7612000 ,890 ,599000 ,710 ,532000 ,420 ,379000 ,,,,,,,,,,,,
48,48011,Calgary Shepard,25520,10356000 ,23030 ,8448000 ,1160 ,801000 ,780 ,597000 ,540 ,510000 ,,,,,,,,,,,,
48,48012,Calgary Signal Hill,24100,9617000 ,22250 ,8179000 ,880 ,615000 ,600 ,467000 ,370 ,356000 ,,,,,,,,,,,,
48,48013,Calgary Skyview,35930,15893000 ,29700 ,11191000 ,2410 ,1580000 ,2150 ,1590000 ,1680 ,1532000 ,,,,,,,,,,,,
48,48014,Edmonton Centre,33060,13472000 ,30940 ,11853000 ,1100 ,775000 ,630 ,478000 ,390 ,366000 ,,,,,,,,,,,,
48,48015,Edmonton Griesbach,39060,17039000 ,35110 ,13831000 ,1750 ,1268000 ,1130 ,896000 ,1060 ,1044000 ,,,,,,,,,,,,
48,48016,Edmonton Manning,29270,12556000 ,25630 ,9623000 ,1570 ,1101000 ,1110 ,882000 ,960 ,949000 ,,,,,,,,,,,,
48,48017,Edmonton Mill Woods,28660,12255000 ,24860 ,9316000 ,1600 ,1100000 ,1330 ,1009000 ,870 ,830000 ,,,,,,,,,,,,
48,48018,Edmonton Riverbend,24150,9623000 ,21980 ,7968000 ,980 ,669000 ,730 ,559000 ,470 ,427000 ,,,,,,,,,,,,
48,48019,Edmonton Strathcona,27990,11135000 ,26380 ,9912000 ,880 ,599000 ,490 ,381000 ,240 ,243000 ,,,,,,,,,,,,
48,48020,Edmonton West,27770,11553000 ,24960 ,9392000 ,1350 ,954000 ,930 ,719000 ,530 ,488000 ,,,,,,,,,,,,
48,48021,Edmonton--Wetaskiwin,27480,11293000 ,24580 ,9131000 ,1380 ,951000 ,970 ,722000 ,560 ,490000 ,,,,,,,,,,,,
48,48022,Foothills,24520,10273000 ,22110 ,8327000 ,1080 ,762000 ,690 ,552000 ,650 ,632000 ,,,,,,,,,,,,
48,48023,Fort McMurray--Cold Lake,18320,8015000 ,16100 ,6172000 ,1060 ,773000 ,690 ,579000 ,480 ,492000 ,,,,,,,,,,,,
48,48024,Grande Prairie--Mackenzie,23900,10244000 ,21180 ,8060000 ,1250 ,884000 ,740 ,586000 ,730 ,713000 ,,,,,,,,,,,,
48,48025,Lakeland,27240,12004000 ,24030 ,9325000 ,1390 ,1028000 ,890 ,726000 ,930 ,926000 ,,,,,,,,,,,,
48,48026,Lethbridge,29040,12071000 ,26080 ,9770000 ,1220 ,840000 ,850 ,637000 ,890 ,825000 ,,,,,,,,,,,,
48,48027,Medicine Hat--Cardston--Warner,27970,12201000 ,24500 ,9338000 ,1390 ,1021000 ,950 ,749000 ,1140 ,1093000 ,,,,,,,,,,,,
48,48028,Peace River--Westlock,26660,12325000 ,22430 ,8672000 ,1600 ,1159000 ,1140 ,932000 ,1490 ,1561000 ,,,,,,,,,,,,
48,48029,Red Deer--Mountain View,25310,10260000 ,23250 ,8698000 ,1030 ,720000 ,600 ,456000 ,430 ,386000 ,,,,,,,,,,,,
48,48030,Red Deer--Lacombe,30060,13227000 ,26350 ,10108000 ,1700 ,1273000 ,1050 ,839000 ,970 ,1008000 ,,,,,,,,,,,,
48,48031,St. Albert--Edmonton,23500,9586000 ,21140 ,7759000 ,1050 ,728000 ,730 ,562000 ,570 ,537000 ,,,,,,,,,,,,
48,48032,Sherwood Park--Fort Saskatchewan,19890,7688000 ,18600 ,6728000 ,730 ,515000 ,380 ,284000 ,190 ,162000 ,,,,,,,,,,,,
48,48033,Sturgeon River--Parkland,22680,9360000 ,20640 ,7742000 ,1040 ,754000 ,560 ,445000 ,430 ,419000 ,,,,,,,,,,,,
48,48034,Yellowhead,22300,9545000 ,20080 ,7740000 ,1070 ,790000 ,660 ,516000 ,490 ,500000 ,,,,,,,,,,,,
TOTAL,,,914830,381694000 ,821570 ,308275000 ,41780 ,29318000 ,28370 ,21909000 ,23120 ,22192000 ,,,,,,,,,,,,
59,59001,Abbotsford,29980,12367000 ,27030 ,10158000 ,1370 ,960000 ,980 ,724000 ,590 ,525000 ,,,,,,,,,,,,
59,59002,Burnaby North--Seymour,30150,11852000 ,28160 ,10393000 ,1100 ,748000 ,680 ,515000 ,220 ,196000 ,,,,,,,,,,,,
59,59003,Burnaby South,39770,15955000 ,36680 ,13720000 ,1700 ,1152000 ,1100 ,833000 ,280 ,250000 ,,,,,,,,,,,,
59,59004,Cariboo--Prince George,30230,12537000 ,27520 ,10397000 ,1430 ,1022000 ,790 ,641000 ,500 ,477000 ,,,,,,,,,,,,
59,59005,Central Okanagan--Similkameen--Nicola,33620,13611000 ,31400 ,11882000 ,1140 ,814000 ,700 ,555000 ,380 ,360000 ,,,,,,,,,,,,
59,59006,Chilliwack--Hope,29140,12133000 ,26410 ,9981000 ,1320 ,955000 ,830 ,654000 ,590 ,544000 ,,,,,,,,,,,,
59,59007,Cloverdale--Langley City,28450,11549000 ,25700 ,9499000 ,1330 ,924000 ,970 ,721000 ,450 ,404000 ,,,,,,,,,,,,
59,59008,Coquitlam--Port Coquitlam,34660,14060000 ,31250 ,11561000 ,1860 ,1262000 ,1190 ,894000 ,370 ,342000 ,,,,,,,,,,,,
59,59009,Courtenay--Alberni,35470,14560000 ,32720 ,12437000 ,1440 ,1032000 ,820 ,637000 ,480 ,454000 ,,,,,,,,,,,,
59,59010,Cowichan--Malahat--Langford,30550,12545000 ,28000 ,10560000 ,1290 ,920000 ,770 ,592000 ,490 ,474000 ,,,,,,,,,,,,
59,59011,Delta,26940,10610000 ,24810 ,9054000 ,1020 ,689000 ,770 ,557000 ,340 ,310000 ,,,,,,,,,,,,
59,59012,Fleetwood--Port Kells,36700,15193000 ,32560 ,12138000 ,1830 ,1244000 ,1620 ,1190000 ,690 ,622000 ,,,,,,,,,,,,
59,59013,Kamloops--Thompson--Cariboo,35800,14391000 ,33300 ,12480000 ,1400 ,1010000 ,710 ,545000 ,390 ,356000 ,,,,,,,,,,,,
59,59014,Kelowna--Lake Country,32770,13005000 ,30610 ,11370000 ,1150 ,817000 ,660 ,499000 ,360 ,319000 ,,,,,,,,,,,,
59,59015,Kootenay--Columbia,30710,12474000 ,28370 ,10683000 ,1240 ,882000 ,740 ,550000 ,370 ,359000 ,,,,,,,,,,,,
59,59016,Langley--Aldergrove,27280,10922000 ,24920 ,9150000 ,1100 ,780000 ,850 ,642000 ,410 ,351000 ,,,,,,,,,,,,
59,59017,Mission--Matsqui--Fraser Canyon,27990,11847000 ,24900 ,9490000 ,1370 ,988000 ,1090 ,819000 ,630 ,550000 ,,,,,,,,,,,,
59,59018,Nanaimo--Ladysmith,36850,14967000 ,34030 ,12791000 ,1520 ,1087000 ,830 ,643000 ,490 ,446000 ,,,,,,,,,,,,
59,59019,New Westminster--Burnaby,37020,14719000 ,34230 ,12674000 ,1440 ,960000 ,950 ,707000 ,400 ,378000 ,,,,,,,,,,,,
59,59020,North Okanagan--Shuswap,38480,15715000 ,35590 ,13489000 ,1450 ,1044000 ,880 ,669000 ,570 ,513000 ,,,,,,,,,,,,
59,59021,North Vancouver,30750,11932000 ,28690 ,10450000 ,1220 ,823000 ,700 ,522000 ,150 ,137000 ,,,,,,,,,,,,
59,59022,Pitt Meadows--Maple Ridge,25300,10024000 ,23440 ,8657000 ,1010 ,695000 ,570 ,431000 ,280 ,242000 ,,,,,,,,,,,,
59,59023,Port Moody--Coquitlam,30290,12136000 ,27750 ,10210000 ,1410 ,1009000 ,800 ,610000 ,330 ,306000 ,,,,,,,,,,,,
59,59024,Prince George--Peace River--Northern Rockies,24780,10194000 ,22450 ,8313000 ,1180 ,861000 ,650 ,515000 ,500 ,505000 ,,,,,,,,,,,,
59,59025,Richmond Centre,35660,14739000 ,32400 ,12358000 ,1830 ,1239000 ,1120 ,861000 ,300 ,280000 ,,,,,,,,,,,,
59,59026,Esquimalt--Saanich--Sooke,29020,11442000 ,27040 ,9976000 ,1070 ,733000 ,630 ,469000 ,290 ,263000 ,,,,,,,,,,,,
59,59027,Saanich--Gulf Islands,27100,10492000 ,25460 ,9267000 ,840 ,578000 ,520 ,394000 ,290 ,253000 ,,,,,,,,,,,,
59,59028,Skeena--Bulkley Valley,25660,11283000 ,22400 ,8603000 ,1540 ,1130000 ,940 ,774000 ,780 ,776000 ,,,,,,,,,,,,
59,59029,South Okanagan--West Kootenay,37850,15246000 ,35390 ,13382000 ,1350 ,959000 ,740 ,580000 ,360 ,325000 ,,,,,,,,,,,,
59,59030,South Surrey--White Rock,25580,10077000 ,23670 ,8651000 ,1030 ,719000 ,670 ,516000 ,210 ,191000 ,,,,,,,,,,,,
59,59031,Steveston--Richmond East,35170,14393000 ,32190 ,12210000 ,1600 ,1062000 ,1050 ,801000 ,340 ,320000 ,,,,,,,,,,,,
59,59032,Surrey Centre,44340,18876000 ,39240 ,15009000 ,2240 ,1532000 ,1760 ,1317000 ,1100 ,1017000 ,,,,,,,,,,,,
59,59033,Surrey--Newton,37090,15928000 ,31950 ,12128000 ,2110 ,1428000 ,2010 ,1453000 ,1010 ,919000 ,,,,,,,,,,,,
59,59034,Vancouver Centre,38810,14571000 ,37770 ,13824000 ,660 ,449000 ,310 ,238000 ,70 ,60000 ,,,,,,,,,,,,
59,59035,Vancouver East,44370,17686000 ,42110 ,15976000 ,1210 ,842000 ,740 ,574000 ,310 ,294000 ,,,,,,,,,,,,
59,59036,Vancouver Granville,30660,11777000 ,29090 ,10652000 ,960 ,641000 ,470 ,354000 ,150 ,130000 ,,,,,,,,,,,,
59,59037,North Island--Powell River,30030,12309000 ,27610 ,10424000 ,1240 ,887000 ,720 ,565000 ,450 ,432000 ,,,,,,,,,,,,
59,59038,Vancouver Kingsway,38990,15653000 ,36220 ,13647000 ,1460 ,992000 ,1000 ,749000 ,310 ,265000 ,,,,,,,,,,,,
59,59039,Vancouver Quadra,27800,10603000 ,26080 ,9350000 ,1030 ,702000 ,540 ,408000 ,160 ,143000 ,,,,,,,,,,,,
59,59040,Vancouver South,37970,15464000 ,34650 ,13044000 ,1670 ,1113000 ,1210 ,900000 ,450 ,407000 ,,,,,,,,,,,,
59,59041,Victoria,40800,15728000 ,38990 ,14378000 ,1020 ,702000 ,560 ,415000 ,240 ,233000 ,,,,,,,,,,,,
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,33170,13339000 ,30680 ,11442000 ,1330 ,938000 ,850 ,670000 ,310 ,288000 ,,,,,,,,,,,,
TOTAL,,,1383740,558904000 ,1273420 ,475859000 ,56500 ,39323000 ,36440 ,27703000 ,17380 ,16019000 ,,,,,,,,,,,,
