Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
24,24005,Argenteuil--La Petite-Nation,32510,13212000 ,29780 ,11237000 ,1400 ,926000 ,840 ,619000 ,490 ,429000 ,,,,,,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,28140,11446000 ,26210 ,10018000 ,940 ,638000 ,600 ,440000 ,400 ,350000 ,,,,,,,,,,,,
24,24007,Beauce,34850,13809000 ,32150 ,11914000 ,1260 ,814000 ,810 ,551000 ,640 ,531000 ,,,,,,,,,,,,
24,24008,Beauport--Limoilou,38370,14992000 ,36080 ,13325000 ,1230 ,801000 ,670 ,490000 ,410 ,376000 ,,,,,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,33440,13381000 ,31180 ,11720000 ,1070 ,717000 ,720 ,531000 ,470 ,414000 ,,,,,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,36420,14033000 ,34330 ,12600000 ,1090 ,693000 ,580 ,395000 ,420 ,345000 ,,,,,,,,,,,,
24,24011,Beloeil--Chambly,29190,11171000 ,27190 ,9815000 ,1150 ,725000 ,570 ,406000 ,280 ,226000 ,,,,,,,,,,,,
24,24012,Berthier--Maskinongé,36000,14657000 ,33090 ,12559000 ,1420 ,952000 ,950 ,680000 ,540 ,466000 ,,,,,,,,,,,,
24,24013,Thérèse-De Blainville,27750,10673000 ,25880 ,9371000 ,1030 ,668000 ,540 ,386000 ,290 ,248000 ,,,,,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,23890,8994000 ,22360 ,7942000 ,810 ,518000 ,450 ,319000 ,260 ,215000 ,,,,,,,,,,,,
24,24015,Bourassa,44420,19312000 ,38360 ,14606000 ,2560 ,1787000 ,2060 ,1579000 ,1440 ,1341000 ,,,,,,,,,,,,
24,24016,Brome--Missisquoi,33630,13575000 ,30850 ,11570000 ,1330 ,873000 ,850 ,607000 ,610 ,524000 ,,,,,,,,,,,,
24,24017,Brossard--Saint-Lambert,31380,12687000 ,28160 ,10305000 ,1420 ,938000 ,1170 ,879000 ,630 ,566000 ,,,,,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,30120,11829000 ,28370 ,10608000 ,900 ,591000 ,520 ,362000 ,320 ,268000 ,,,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,30170,11491000 ,28270 ,10216000 ,1050 ,652000 ,560 ,380000 ,290 ,243000 ,,,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,27360,10528000 ,25830 ,9500000 ,830 ,518000 ,440 ,308000 ,250 ,202000 ,,,,,,,,,,,,
24,24021,Châteauguay--Lacolle,29200,11729000 ,26520 ,9771000 ,1270 ,857000 ,850 ,615000 ,560 ,487000 ,,,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,27400,10507000 ,25920 ,9493000 ,820 ,536000 ,450 ,314000 ,210 ,164000 ,,,,,,,,,,,,
24,24023,Compton--Stanstead,31460,12606000 ,28520 ,10516000 ,1360 ,867000 ,910 ,656000 ,670 ,568000 ,,,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,41880,17452000 ,37290 ,13903000 ,2100 ,1453000 ,1570 ,1215000 ,920 ,881000 ,,,,,,,,,,,,
24,24025,Drummond,36340,14681000 ,33280 ,12505000 ,1530 ,1001000 ,890 ,634000 ,640 ,542000 ,,,,,,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,30360,12124000 ,28790 ,10998000 ,900 ,604000 ,440 ,323000 ,230 ,199000 ,,,,,,,,,,,,
24,24027,Gatineau,31910,12713000 ,29060 ,10639000 ,1450 ,959000 ,850 ,624000 ,550 ,490000 ,,,,,,,,,,,,
24,24028,Hochelaga,43720,17474000 ,40160 ,14817000 ,1720 ,1170000 ,1200 ,896000 ,640 ,592000 ,,,,,,,,,,,,
24,24029,Honoré-Mercier,37080,15246000 ,33270 ,12354000 ,1680 ,1142000 ,1300 ,984000 ,830 ,766000 ,,,,,,,,,,,,
24,24030,Hull--Aylmer,30560,12250000 ,27750 ,10118000 ,1350 ,915000 ,850 ,650000 ,610 ,567000 ,,,,,,,,,,,,
24,24031,Joliette,38200,15590000 ,35170 ,13288000 ,1510 ,1030000 ,870 ,663000 ,640 ,608000 ,,,,,,,,,,,,
24,24032,Jonquière,27650,10701000 ,25740 ,9388000 ,960 ,617000 ,590 ,413000 ,360 ,284000 ,,,,,,,,,,,,
24,24033,La Pointe-de-l'Île,39360,15896000 ,36020 ,13371000 ,1690 ,1177000 ,1040 ,788000 ,610 ,560000 ,,,,,,,,,,,,
